alternative_id,dataset_id,course_id,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,original_grade,class_index,class_label
STUDENT1,higher_education_students_performance,1,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.25,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,1,2,Cl2
STUDENT2,higher_education_students_performance,1,0.5,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.2,0.4,0.25,0.0,0.25,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.25,0.6666666666666666,1,2,Cl2
STUDENT3,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.25,1.0,0.3333333333333333,0.2,0.2,0.25,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.3333333333333333,1,2,Cl2
STUDENT4,higher_education_students_performance,1,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.2,1.0,0.0,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.3333333333333333,1,2,Cl2
STUDENT5,higher_education_students_performance,1,0.5,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.0,1.0,0.4,0.4,0.25,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.25,0.3333333333333333,1,2,Cl2
STUDENT6,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.25,0.0,0.0,0.4,0.4,0.25,0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.75,1.0,2,3,Cl3
STUDENT7,higher_education_students_performance,1,0.0,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.4,0.0,0.0,0.25,0.75,0.25,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,1.0,5,6,Cl6
STUDENT8,higher_education_students_performance,1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.25,0.3333333333333333,0.6666666666666666,0.6,0.4,0.0,0.0,0.75,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,2,3,Cl3
STUDENT9,higher_education_students_performance,1,0.5,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.6,0.25,0.0,0.25,0.75,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.75,0.6666666666666666,5,6,Cl6
STUDENT10,higher_education_students_performance,1,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.5,1.0,0.3333333333333333,0.0,0.2,0.5,0.0,0.25,0.5,0.25,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0,1,Cl1
STUDENT11,higher_education_students_performance,1,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,0.6666666666666666,0.4,0.6,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2,3,Cl3
STUDENT12,higher_education_students_performance,1,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.75,0.3333333333333333,0.6666666666666666,0.8,0.8,0.0,0.0,0.5,0.25,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.75,0.6666666666666666,0,1,Cl1
STUDENT13,higher_education_students_performance,1,0.0,0.0,0.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.8,0.75,0.5,0.25,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.75,0.3333333333333333,0,1,Cl1
STUDENT14,higher_education_students_performance,1,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2,0.2,0.25,0.0,0.25,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.75,0.3333333333333333,1,2,Cl2
STUDENT15,higher_education_students_performance,1,1.0,1.0,0.5,0.75,0.0,0.0,1.0,0.5,1.0,0.3333333333333333,0.4,0.0,0.25,0.0,0.75,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.75,1.0,2,3,Cl3
STUDENT16,higher_education_students_performance,1,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.6,0.6,0.25,0.0,0.5,0.0,0.25,0.5,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.25,0.3333333333333333,2,3,Cl3
