alternative_id,dataset_id,g1,g2,g3,g4,g5,g6,g7,class_label,class_index
a1,mcs_bcc,0.5,0.333333,0.375,1,1.0,0,1,Cl2,2
a2,mcs_bcc,0.5,1.0,0.25,0,1.0,1,1,Cl2,2
a3,mcs_bcc,0.0,0.0,1.0,1,0.5,1,0,Cl1,1
a4,mcs_bcc,0.0,0.166667,0.375,1,1.0,1,1,Cl2,2
a5,mcs_bcc,0.5,1.0,0.25,1,0.5,0,0,Cl1,1
a6,mcs_bcc,0.5,0.5,0.0,1,0.0,0,0,Cl1,1
a7,mcs_bcc,0.5,1.0,0.25,0,0.0,0,0,Cl1,1
a8,mcs_bcc,0.0,0.333333,0.125,1,0.0,1,1,Cl1,1
a9,mcs_bcc,0.0,0.166667,0.0,0,0.5,1,1,Cl1,1
a10,mcs_bcc,0.5,0.666667,0.0,1,0.5,0,0,Cl1,1
a11,mcs_bcc,1.0,0.833333,1.0,1,0.5,0,0,Cl2,2
a12,mcs_bcc,0.5,0.833333,0.625,1,1.0,1,1,Cl2,2
a13,mcs_bcc,0.0,0.5,0.125,1,0.0,1,1,Cl1,1
a14,mcs_bcc,0.0,0.166667,0.5,1,0.5,0,1,Cl1,1
a15,mcs_bcc,0.5,0.0,0.0,0,0.5,1,0,Cl1,1
a16,mcs_bcc,1.0,0.333333,1.0,1,0.0,1,1,Cl1,1
a17,mcs_bcc,0.0,1.0,0.625,0,1.0,1,0,Cl2,2
a18,mcs_bcc,0.0,0.0,0.0,1,0.5,0,1,Cl1,1
a19,mcs_bcc,0.5,0.833333,0.125,1,0.0,1,0,Cl1,1
a20,mcs_bcc,1.0,0.166667,0.125,1,0.0,0,0,Cl1,1
a21,mcs_bcc,0.0,0.0,0.5,0,0.0,0,0,Cl1,1
a22,mcs_bcc,0.5,0.166667,1.0,0,0.5,0,0,Cl1,1
a23,mcs_bcc,1.0,0.166667,0.25,1,0.0,1,0,Cl1,1
a24,mcs_bcc,1.0,1.0,1.0,1,0.0,1,0,Cl1,1
a25,mcs_bcc,1.0,0.833333,0.25,1,0.5,1,0,Cl1,1
a26,mcs_bcc,0.0,0.0,0.25,1,0.5,0,0,Cl1,1
a27,mcs_bcc,0.0,0.5,1.0,0,1.0,0,1,Cl2,2
a28,mcs_bcc,0.5,0.166667,0.625,0,1.0,0,0,Cl1,1
a29,mcs_bcc,1.0,0.166667,0.25,1,1.0,1,1,Cl2,2
a30,mcs_bcc,1.0,0.166667,0.25,0,0.5,0,1,Cl1,1
a31,mcs_bcc,1.0,0.166667,1.0,1,0.5,0,0,Cl1,1
a32,mcs_bcc,0.5,1.0,0.375,1,0.5,1,0,Cl1,1
a33,mcs_bcc,0.5,0.0,0.375,0,0.0,0,1,Cl1,1
a34,mcs_bcc,1.0,0.5,0.125,1,1.0,1,0,Cl2,2
a35,mcs_bcc,0.0,0.833333,0.0,0,0.5,1,0,Cl1,1
a36,mcs_bcc,1.0,0.666667,0.25,1,0.0,1,1,Cl1,1
a37,mcs_bcc,0.5,0.0,0.375,1,1.0,0,1,Cl2,2
a38,mcs_bcc,0.0,0.0,0.375,0,0.5,1,1,Cl1,1
a39,mcs_bcc,1.0,0.666667,0.5,1,0.5,0,0,Cl1,1
a40,mcs_bcc,0.0,0.5,0.5,1,0.5,0,0,Cl1,1
a41,mcs_bcc,0.0,0.333333,0.5,1,0.5,1,0,Cl1,1
a42,mcs_bcc,0.5,1.0,0.5,0,1.0,0,0,Cl2,2
a43,mcs_bcc,1.0,0.333333,1.0,1,0.5,0,0,Cl1,1
a44,mcs_bcc,0.0,0.333333,0.375,0,1.0,0,0,Cl1,1
a45,mcs_bcc,0.5,0.166667,0.125,1,0.5,0,1,Cl1,1
a46,mcs_bcc,0.5,0.833333,0.625,1,0.0,1,1,Cl1,1
a47,mcs_bcc,0.5,0.333333,0.125,0,0.5,0,0,Cl1,1
a48,mcs_bcc,1.0,0.833333,1.0,0,0.0,0,0,Cl1,1
a49,mcs_bcc,1.0,0.833333,0.125,0,1.0,1,1,Cl2,2
a50,mcs_bcc,0.5,1.0,0.125,0,0.5,1,1,Cl1,1
a51,mcs_bcc,1.0,0.166667,0.25,1,0.0,1,0,Cl1,1
a52,mcs_bcc,0.5,0.166667,0.125,1,0.0,0,1,Cl1,1
a53,mcs_bcc,0.0,0.833333,0.625,1,0.0,0,1,Cl1,1
a54,mcs_bcc,1.0,0.666667,0.0,0,0.5,0,0,Cl1,1
a55,mcs_bcc,0.5,0.5,0.0,0,0.0,0,1,Cl1,1
a56,mcs_bcc,1.0,0.833333,0.375,1,1.0,1,0,Cl2,2
a57,mcs_bcc,0.5,0.666667,0.625,0,0.5,0,0,Cl1,1
a58,mcs_bcc,1.0,0.0,0.375,0,0.0,0,1,Cl1,1
a59,mcs_bcc,0.5,0.5,0.25,1,0.0,0,1,Cl1,1
a60,mcs_bcc,0.5,0.5,0.25,1,1.0,1,0,Cl2,2
a61,mcs_bcc,0.5,1.0,0.625,1,0.5,0,1,Cl2,2
a62,mcs_bcc,1.0,0.333333,0.625,0,1.0,1,1,Cl2,2
a63,mcs_bcc,1.0,0.166667,0.0,0,1.0,1,1,Cl1,1
a64,mcs_bcc,1.0,1.0,0.25,1,1.0,0,0,Cl2,2
a65,mcs_bcc,1.0,0.333333,0.5,1,0.5,0,1,Cl2,2
a66,mcs_bcc,1.0,0.166667,0.625,1,0.5,0,0,Cl1,1
a67,mcs_bcc,0.0,1.0,0.125,1,0.5,0,0,Cl1,1
a68,mcs_bcc,0.5,0.833333,0.25,1,1.0,1,1,Cl2,2
a69,mcs_bcc,1.0,0.0,0.0,0,1.0,0,0,Cl1,1
