alternative_id,dataset_id,g1,g2,g3,g4,g5,g6,g7,g8,class_label,class_index
a1,mcs_dbs,0.666667,0.151163,0.666667,0.8,0.090116,0.5,0.0,1.0,Cl2,2
a2,mcs_dbs,0.333333,0.238372,0.166667,0.6,0.110465,0.5,0.333333,0.0,Cl1,1
a3,mcs_dbs,1.0,0.037209,0.333333,0.6,0.180233,0.5,1.0,0.0,Cl1,1
a4,mcs_dbs,0.333333,0.023256,0.5,0.2,0.107558,0.5,1.0,1.0,Cl1,1
a5,mcs_dbs,0.0,0.415116,0.0,0.4,0.122093,0.5,1.0,0.5,Cl1,1
a6,mcs_dbs,0.666667,0.77907,0.166667,1.0,0.133721,0.5,0.333333,0.5,Cl2,2
a7,mcs_dbs,1.0,0.5,1.0,0.2,0.084302,1.0,1.0,0.0,Cl1,1
a8,mcs_dbs,0.0,0.094186,0.333333,0.4,0.354651,0.5,1.0,1.0,Cl2,2
a9,mcs_dbs,0.666667,0.284884,0.333333,0.8,0.174419,0.0,0.0,0.5,Cl2,2
a10,mcs_dbs,0.0,0.134884,0.833333,0.8,0.476744,1.0,1.0,0.0,Cl2,2
a11,mcs_dbs,0.333333,0.276744,0.0,0.6,0.107558,1.0,0.666667,0.5,Cl1,1
a12,mcs_dbs,0.0,0.094186,0.333333,0.8,0.075581,0.5,0.0,0.5,Cl1,1
a13,mcs_dbs,0.333333,0.075581,0.333333,0.2,0.110465,1.0,1.0,1.0,Cl1,1
a14,mcs_dbs,1.0,0.77907,1.0,0.6,0.107558,1.0,0.666667,0.0,Cl2,2
a15,mcs_dbs,0.0,0.284884,0.333333,0.4,0.119186,0.5,0.666667,0.5,Cl1,1
a16,mcs_dbs,1.0,0.183721,1.0,1.0,0.145349,1.0,0.0,1.0,Cl2,2
a17,mcs_dbs,0.0,0.452326,0.333333,0.2,0.069767,0.5,0.0,1.0,Cl1,1
a18,mcs_dbs,1.0,0.145349,0.833333,0.4,0.075581,1.0,1.0,0.0,Cl1,1
a19,mcs_dbs,1.0,0.144186,0.166667,0.0,0.244186,0.5,1.0,0.0,Cl1,1
a20,mcs_dbs,0.0,0.218605,0.5,0.8,0.078488,0.0,0.333333,1.0,Cl2,2
a21,mcs_dbs,0.666667,0.331395,0.166667,0.8,0.02907,1.0,0.333333,1.0,Cl2,2
a22,mcs_dbs,1.0,0.127907,0.333333,0.4,0.005814,1.0,0.0,0.0,Cl1,1
a23,mcs_dbs,0.0,0.068605,1.0,1.0,0.156977,0.5,0.333333,0.0,Cl2,2
a24,mcs_dbs,0.0,0.180233,0.333333,1.0,0.133721,0.0,0.333333,0.0,Cl1,1
a25,mcs_dbs,0.0,0.046512,0.5,0.6,0.113372,0.0,0.333333,1.0,Cl2,2
a26,mcs_dbs,0.666667,0.087209,0.666667,1.0,0.122093,0.0,0.0,0.5,Cl2,2
a27,mcs_dbs,0.0,0.098837,0.0,0.8,0.040698,1.0,0.333333,0.0,Cl1,1
a28,mcs_dbs,0.0,0.125581,0.0,0.2,0.081395,1.0,0.0,0.5,Cl1,1
a29,mcs_dbs,1.0,0.213953,1.0,0.6,0.15407,0.5,0.666667,1.0,Cl2,2
a30,mcs_dbs,0.0,0.331395,0.833333,0.8,0.116279,0.0,0.666667,0.0,Cl1,1
a31,mcs_dbs,0.333333,0.05814,1.0,0.4,0.313953,0.0,0.0,0.0,Cl1,1
a32,mcs_dbs,0.666667,0.093023,0.5,0.6,0.186047,0.0,0.333333,0.0,Cl1,1
a33,mcs_dbs,0.666667,0.276744,0.166667,0.8,0.075581,0.5,0.333333,0.0,Cl1,1
a34,mcs_dbs,0.333333,0.674419,0.333333,0.6,0.15407,1.0,0.333333,0.0,Cl2,2
a35,mcs_dbs,0.333333,0.180233,0.5,0.6,0.215116,1.0,0.333333,0.0,Cl1,1
a36,mcs_dbs,0.0,0.223256,0.833333,0.0,0.273256,0.0,0.0,0.5,Cl1,1
a37,mcs_dbs,1.0,0.232558,0.0,0.4,0.165698,0.5,1.0,0.0,Cl1,1
a38,mcs_dbs,1.0,0.284884,0.5,0.0,0.30814,0.5,0.0,0.0,Cl1,1
a39,mcs_dbs,0.333333,0.017442,0.833333,0.8,0.072674,1.0,0.666667,0.0,Cl1,1
a40,mcs_dbs,0.0,0.063953,0.333333,0.2,0.084302,1.0,0.333333,1.0,Cl1,1
a41,mcs_dbs,1.0,0.753488,0.5,0.6,0.034884,0.5,0.666667,1.0,Cl2,2
a42,mcs_dbs,0.666667,0.174419,0.5,0.6,0.005814,0.5,1.0,1.0,Cl2,2
a43,mcs_dbs,1.0,0.063953,0.0,0.8,0.040698,0.0,1.0,0.5,Cl2,2
a44,mcs_dbs,0.0,0.331395,0.666667,0.4,0.354651,1.0,0.333333,0.0,Cl1,1
a45,mcs_dbs,1.0,0.773256,1.0,0.6,0.180233,0.0,0.333333,0.5,Cl2,2
a46,mcs_dbs,1.0,0.023256,0.0,0.6,0.313953,0.5,0.333333,0.5,Cl2,2
a47,mcs_dbs,1.0,0.366279,1.0,0.8,0.069767,1.0,1.0,0.5,Cl2,2
a48,mcs_dbs,0.333333,1.0,0.666667,0.8,1.0,1.0,0.666667,1.0,Cl2,2
a49,mcs_dbs,0.333333,0.674419,0.166667,0.0,0.127907,0.5,0.333333,0.0,Cl1,1
a50,mcs_dbs,1.0,0.238372,0.833333,0.8,0.476744,1.0,0.333333,1.0,Cl2,2
a51,mcs_dbs,0.333333,0.327907,0.833333,1.0,0.005814,1.0,1.0,0.0,Cl2,2
a52,mcs_dbs,0.666667,1.0,0.333333,0.0,0.313953,1.0,1.0,0.0,Cl1,1
a53,mcs_dbs,0.666667,0.447674,0.333333,0.0,0.165698,0.0,0.666667,1.0,Cl1,1
a54,mcs_dbs,0.0,0.25814,0.333333,0.0,0.34593,0.5,0.0,0.0,Cl1,1
a55,mcs_dbs,0.666667,0.1,0.5,0.8,0.017442,1.0,1.0,0.5,Cl2,2
a56,mcs_dbs,0.333333,0.127907,0.0,0.8,0.061047,0.0,0.666667,0.5,Cl1,1
a57,mcs_dbs,0.0,0.223256,1.0,0.8,0.145349,1.0,0.333333,1.0,Cl2,2
a58,mcs_dbs,0.333333,0.960465,0.5,1.0,0.155814,0.5,0.666667,0.0,Cl2,2
a59,mcs_dbs,0.333333,0.023256,0.666667,0.0,0.116279,0.0,0.666667,1.0,Cl1,1
a60,mcs_dbs,0.666667,0.123256,0.833333,1.0,0.081395,0.5,0.333333,0.5,Cl2,2
a61,mcs_dbs,0.0,0.145349,0.666667,0.0,0.165698,1.0,1.0,1.0,Cl1,1
a62,mcs_dbs,0.0,0.074419,0.166667,1.0,0.093023,1.0,0.666667,0.0,Cl1,1
a63,mcs_dbs,0.666667,0.081395,0.333333,0.4,0.093023,0.0,0.666667,1.0,Cl2,2
a64,mcs_dbs,0.666667,0.213953,0.333333,1.0,0.110465,0.5,0.333333,0.5,Cl2,2
a65,mcs_dbs,1.0,0.0,0.333333,0.6,0.104651,0.5,0.0,1.0,Cl2,2
a66,mcs_dbs,1.0,0.005814,0.5,0.8,0.09593,0.5,1.0,1.0,Cl2,2
a67,mcs_dbs,1.0,0.333721,1.0,0.4,0.0,1.0,0.333333,0.5,Cl2,2
a68,mcs_dbs,0.0,0.169767,0.333333,0.6,0.19186,0.0,0.666667,0.5,Cl1,1
a69,mcs_dbs,0.666667,0.023256,1.0,0.6,0.139535,0.5,0.0,0.5,Cl2,2
a70,mcs_dbs,1.0,0.674419,0.333333,0.0,0.155814,0.0,0.0,0.0,Cl1,1
a71,mcs_dbs,0.0,0.366279,0.666667,0.6,0.023256,0.5,1.0,0.0,Cl1,1
a72,mcs_dbs,0.666667,0.074419,0.333333,0.6,0.180233,0.5,1.0,0.0,Cl1,1
a73,mcs_dbs,0.333333,0.0,0.833333,0.0,0.084302,0.0,0.333333,0.0,Cl1,1
a74,mcs_dbs,0.0,0.011628,0.0,0.0,0.113372,0.0,1.0,0.0,Cl1,1
a75,mcs_dbs,0.0,0.123256,0.166667,0.6,0.0,0.5,0.333333,0.5,Cl1,1
