alternative_id,dataset_id,g1,g2,g3,g4,class_label,class_index
a1,mcs_esl,0.222222,0.0,0.5,0.333333,Cl1,1
a2,mcs_esl,0.888889,0.0,0.833333,0.5,Cl4,4
a3,mcs_esl,0.222222,0.777778,0.666667,0.0,Cl3,3
a4,mcs_esl,0.222222,1.0,0.666667,0.333333,Cl4,4
a5,mcs_esl,0.777778,0.444444,0.166667,0.0,Cl2,2
a6,mcs_esl,0.222222,0.111111,0.166667,0.833333,Cl2,2
a7,mcs_esl,0.444444,0.111111,0.5,0.833333,Cl3,3
a8,mcs_esl,0.444444,0.222222,0.5,0.333333,Cl2,2
a9,mcs_esl,0.111111,0.0,0.166667,0.166667,Cl1,1
a10,mcs_esl,0.222222,0.0,1.0,0.0,Cl2,2
a11,mcs_esl,0.888889,0.555556,0.666667,0.333333,Cl4,4
a12,mcs_esl,0.0,0.333333,1.0,0.0,Cl2,2
a13,mcs_esl,0.444444,0.0,0.0,0.0,Cl1,1
a14,mcs_esl,0.333333,0.666667,0.166667,0.0,Cl1,1
a15,mcs_esl,1.0,0.333333,0.333333,0.5,Cl4,4
a16,mcs_esl,0.666667,1.0,0.666667,0.833333,Cl5,5
a17,mcs_esl,1.0,0.111111,0.5,0.333333,Cl3,3
a18,mcs_esl,0.777778,0.222222,0.5,0.666667,Cl4,4
a19,mcs_esl,0.111111,0.222222,0.666667,0.333333,Cl2,2
a20,mcs_esl,0.111111,0.666667,0.0,0.166667,Cl1,1
a21,mcs_esl,0.222222,1.0,0.666667,0.0,Cl3,3
a22,mcs_esl,0.444444,0.333333,0.833333,0.333333,Cl3,3
a23,mcs_esl,0.444444,0.555556,0.666667,0.5,Cl4,4
a24,mcs_esl,1.0,0.0,0.166667,0.0,Cl1,1
a25,mcs_esl,1.0,0.222222,0.5,1.0,Cl5,5
a26,mcs_esl,0.333333,0.666667,0.333333,1.0,Cl4,4
a27,mcs_esl,0.333333,0.333333,1.0,0.0,Cl3,3
a28,mcs_esl,0.888889,0.111111,0.5,0.833333,Cl4,4
a29,mcs_esl,0.222222,0.888889,0.5,0.0,Cl2,2
a30,mcs_esl,0.0,0.666667,0.333333,1.0,Cl3,3
a31,mcs_esl,0.777778,0.444444,0.0,0.5,Cl2,2
a32,mcs_esl,0.666667,0.555556,0.833333,0.666667,Cl5,5
a33,mcs_esl,0.777778,0.0,0.666667,0.666667,Cl4,4
a34,mcs_esl,0.333333,0.0,0.0,0.166667,Cl1,1
a35,mcs_esl,0.333333,0.333333,1.0,0.833333,Cl4,4
a36,mcs_esl,0.777778,0.0,0.166667,0.166667,Cl1,1
a37,mcs_esl,0.777778,0.333333,0.833333,0.166667,Cl4,4
a38,mcs_esl,1.0,0.222222,0.666667,0.0,Cl3,3
a39,mcs_esl,0.444444,0.555556,0.666667,0.0,Cl3,3
a40,mcs_esl,0.555556,0.555556,0.333333,0.166667,Cl2,2
a41,mcs_esl,0.555556,0.777778,0.333333,0.5,Cl4,4
a42,mcs_esl,0.777778,0.555556,0.333333,0.833333,Cl4,4
a43,mcs_esl,1.0,0.888889,0.666667,0.833333,Cl5,5
a44,mcs_esl,0.0,0.777778,0.833333,0.833333,Cl4,4
a45,mcs_esl,0.444444,0.0,0.666667,0.666667,Cl3,3
a46,mcs_esl,0.0,1.0,1.0,0.666667,Cl5,5
a47,mcs_esl,0.888889,0.777778,0.5,0.666667,Cl5,5
a48,mcs_esl,0.777778,0.111111,0.166667,0.5,Cl2,2
a49,mcs_esl,0.777778,1.0,0.666667,0.0,Cl4,4
a50,mcs_esl,0.777778,0.777778,0.833333,0.0,Cl4,4
a51,mcs_esl,0.444444,0.111111,1.0,0.166667,Cl3,3
a52,mcs_esl,0.555556,0.333333,0.5,0.5,Cl3,3
a53,mcs_esl,0.222222,0.444444,0.5,0.666667,Cl3,3
a54,mcs_esl,0.0,0.0,0.166667,0.5,Cl1,1
a55,mcs_esl,0.555556,0.666667,0.0,1.0,Cl4,4
a56,mcs_esl,0.777778,0.444444,0.5,0.833333,Cl4,4
a57,mcs_esl,0.111111,0.888889,0.333333,0.666667,Cl3,3
a58,mcs_esl,0.0,0.666667,0.833333,0.5,Cl4,4
a59,mcs_esl,0.666667,0.555556,0.5,1.0,Cl5,5
a60,mcs_esl,0.888889,0.444444,0.833333,0.166667,Cl4,4
a61,mcs_esl,0.222222,0.555556,0.5,0.0,Cl2,2
a62,mcs_esl,0.888889,1.0,0.666667,0.833333,Cl5,5
a63,mcs_esl,0.111111,0.777778,0.833333,0.333333,Cl4,4
a64,mcs_esl,0.777778,1.0,0.166667,0.5,Cl4,4
a65,mcs_esl,1.0,0.666667,0.0,0.166667,Cl3,3
a66,mcs_esl,0.555556,0.222222,0.333333,0.333333,Cl2,2
a67,mcs_esl,1.0,0.555556,0.666667,0.0,Cl4,4
a68,mcs_esl,0.444444,0.333333,0.833333,0.0,Cl3,3
a69,mcs_esl,0.777778,0.0,0.833333,0.0,Cl3,3
a70,mcs_esl,1.0,0.555556,0.333333,0.833333,Cl5,5
a71,mcs_esl,0.333333,0.555556,0.833333,0.833333,Cl5,5
a72,mcs_esl,0.0,0.555556,0.5,0.833333,Cl3,3
a73,mcs_esl,1.0,0.888889,0.666667,0.333333,Cl5,5
a74,mcs_esl,1.0,0.777778,1.0,0.833333,Cl5,5
a75,mcs_esl,0.222222,0.333333,0.166667,0.833333,Cl2,2
a76,mcs_esl,0.888889,0.0,0.833333,1.0,Cl5,5
a77,mcs_esl,0.444444,0.444444,0.0,1.0,Cl3,3
a78,mcs_esl,1.0,0.333333,0.166667,0.333333,Cl3,3
a79,mcs_esl,0.555556,0.222222,0.666667,0.5,Cl3,3
a80,mcs_esl,0.222222,0.444444,0.166667,0.833333,Cl2,2
a81,mcs_esl,0.666667,0.333333,0.5,0.166667,Cl3,3
a82,mcs_esl,0.0,0.888889,0.333333,0.833333,Cl4,4
a83,mcs_esl,0.888889,0.111111,0.333333,0.333333,Cl2,2
a84,mcs_esl,1.0,0.666667,0.666667,0.0,Cl4,4
a85,mcs_esl,0.0,0.555556,0.0,1.0,Cl2,2
a86,mcs_esl,0.888889,0.777778,0.333333,0.666667,Cl4,4
a87,mcs_esl,1.0,0.555556,0.5,0.666667,Cl5,5
a88,mcs_esl,0.666667,0.111111,0.666667,0.833333,Cl4,4
a89,mcs_esl,0.222222,0.111111,1.0,0.833333,Cl4,4
a90,mcs_esl,1.0,0.666667,0.166667,0.833333,Cl4,4
a91,mcs_esl,0.222222,0.777778,0.166667,0.333333,Cl2,2
a92,mcs_esl,1.0,0.555556,0.0,1.0,Cl4,4
a93,mcs_esl,0.888889,0.111111,0.5,0.166667,Cl3,3
a94,mcs_esl,0.777778,0.111111,0.666667,0.833333,Cl4,4
a95,mcs_esl,0.666667,0.222222,0.666667,1.0,Cl5,5
a96,mcs_esl,0.888889,1.0,0.5,0.666667,Cl5,5
a97,mcs_esl,0.444444,0.666667,0.833333,0.666667,Cl5,5
a98,mcs_esl,0.333333,1.0,0.166667,0.833333,Cl4,4
a99,mcs_esl,0.555556,0.0,1.0,0.333333,Cl3,3
a100,mcs_esl,0.111111,0.555556,0.666667,0.166667,Cl2,2
a101,mcs_esl,0.777778,0.777778,0.166667,1.0,Cl5,5
a102,mcs_esl,0.222222,0.666667,0.5,0.166667,Cl2,2
a103,mcs_esl,0.333333,0.111111,0.166667,0.666667,Cl2,2
a104,mcs_esl,0.333333,0.555556,0.5,0.5,Cl3,3
a105,mcs_esl,0.777778,0.222222,0.833333,0.333333,Cl4,4
a106,mcs_esl,0.444444,0.555556,0.5,0.0,Cl2,2
a107,mcs_esl,0.333333,0.111111,0.666667,0.666667,Cl3,3
a108,mcs_esl,0.333333,0.666667,0.833333,0.5,Cl4,4
a109,mcs_esl,0.222222,0.333333,0.0,0.5,Cl1,1
a110,mcs_esl,0.555556,0.111111,0.333333,1.0,Cl4,4
a111,mcs_esl,0.777778,0.888889,0.5,1.0,Cl5,5
a112,mcs_esl,0.888889,0.0,1.0,0.0,Cl3,3
a113,mcs_esl,0.888889,0.666667,0.166667,0.0,Cl2,2
a114,mcs_esl,0.0,0.111111,1.0,0.666667,Cl3,3
a115,mcs_esl,0.111111,0.333333,0.666667,1.0,Cl4,4
a116,mcs_esl,0.666667,1.0,1.0,0.0,Cl5,5
a117,mcs_esl,0.0,0.222222,0.833333,1.0,Cl4,4
a118,mcs_esl,0.333333,0.111111,0.5,1.0,Cl4,4
a119,mcs_esl,0.222222,0.444444,1.0,0.833333,Cl4,4
a120,mcs_esl,0.444444,0.555556,0.333333,0.5,Cl3,3
a121,mcs_esl,0.111111,0.777778,0.166667,0.166667,Cl2,2
a122,mcs_esl,0.444444,0.333333,1.0,0.166667,Cl4,4
a123,mcs_esl,0.0,0.777778,0.666667,0.5,Cl3,3
a124,mcs_esl,0.222222,0.111111,0.166667,0.166667,Cl1,1
a125,mcs_esl,1.0,0.333333,0.166667,1.0,Cl4,4
