alternative_id,dataset_id,g1,g2,g3,g4,class_label,class_index
a1,mcs_lev,0.75,1.0,0.5,0.5,Cl4,4
a2,mcs_lev,0.75,0.25,0.5,0.25,Cl2,2
a3,mcs_lev,0.25,0.25,1.0,0.75,Cl2,2
a4,mcs_lev,0.25,1.0,1.0,0.25,Cl3,3
a5,mcs_lev,0.0,0.5,0.75,0.75,Cl2,2
a6,mcs_lev,0.75,0.0,0.0,1.0,Cl3,3
a7,mcs_lev,0.75,0.75,0.0,1.0,Cl4,4
a8,mcs_lev,0.0,0.25,0.0,0.75,Cl1,1
a9,mcs_lev,0.0,0.25,0.0,0.0,Cl1,1
a10,mcs_lev,0.75,0.0,0.0,1.0,Cl3,3
a11,mcs_lev,1.0,1.0,0.5,1.0,Cl4,4
a12,mcs_lev,0.0,0.25,1.0,0.0,Cl1,1
a13,mcs_lev,0.75,0.75,1.0,0.5,Cl4,4
a14,mcs_lev,1.0,0.75,0.5,0.25,Cl4,4
a15,mcs_lev,0.0,0.75,0.5,0.25,Cl2,2
a16,mcs_lev,1.0,1.0,0.75,0.0,Cl4,4
a17,mcs_lev,0.5,0.0,0.75,0.75,Cl2,2
a18,mcs_lev,0.0,1.0,0.0,0.25,Cl3,3
a19,mcs_lev,0.25,0.5,0.25,0.0,Cl2,2
a20,mcs_lev,0.5,0.0,1.0,0.25,Cl2,2
a21,mcs_lev,0.25,0.25,0.0,0.0,Cl1,1
a22,mcs_lev,0.5,0.75,0.75,0.75,Cl3,3
a23,mcs_lev,0.0,1.0,0.5,0.5,Cl3,3
a24,mcs_lev,1.0,1.0,0.5,0.0,Cl4,4
a25,mcs_lev,0.75,0.25,0.75,0.5,Cl3,3
a26,mcs_lev,0.5,0.5,0.75,0.5,Cl3,3
a27,mcs_lev,0.75,1.0,0.75,0.5,Cl4,4
a28,mcs_lev,0.5,0.25,1.0,0.0,Cl2,2
a29,mcs_lev,1.0,0.25,0.75,0.25,Cl3,3
a30,mcs_lev,0.25,0.25,1.0,0.0,Cl1,1
a31,mcs_lev,1.0,0.0,0.75,0.5,Cl3,3
a32,mcs_lev,0.5,0.75,0.0,0.0,Cl3,3
a33,mcs_lev,1.0,0.75,0.75,0.75,Cl4,4
a34,mcs_lev,0.25,0.75,0.25,0.5,Cl3,3
a35,mcs_lev,0.75,0.25,0.75,0.75,Cl3,3
a36,mcs_lev,1.0,0.0,0.75,0.5,Cl3,3
a37,mcs_lev,1.0,0.25,0.5,0.25,Cl3,3
a38,mcs_lev,0.75,1.0,0.5,0.25,Cl4,4
a39,mcs_lev,0.0,0.75,0.5,0.0,Cl2,2
a40,mcs_lev,0.75,0.5,1.0,1.0,Cl4,4
a41,mcs_lev,0.0,0.0,0.75,0.25,Cl1,1
a42,mcs_lev,0.25,0.25,0.25,0.0,Cl1,1
a43,mcs_lev,0.5,0.25,0.0,1.0,Cl3,3
a44,mcs_lev,0.5,0.0,0.75,0.5,Cl2,2
a45,mcs_lev,0.0,0.0,0.5,0.0,Cl1,1
a46,mcs_lev,0.0,1.0,0.75,1.0,Cl3,3
a47,mcs_lev,0.75,0.0,1.0,0.25,Cl2,2
a48,mcs_lev,0.25,1.0,0.75,0.5,Cl3,3
a49,mcs_lev,0.0,0.5,0.0,1.0,Cl2,2
a50,mcs_lev,0.5,1.0,0.5,0.5,Cl4,4
a51,mcs_lev,0.5,0.0,0.25,0.5,Cl2,2
a52,mcs_lev,0.5,0.25,0.0,0.0,Cl2,2
a53,mcs_lev,0.0,0.25,0.0,1.0,Cl2,2
a54,mcs_lev,0.5,0.75,0.25,0.25,Cl3,3
a55,mcs_lev,0.25,0.75,1.0,0.25,Cl3,3
a56,mcs_lev,0.5,0.0,1.0,1.0,Cl2,2
a57,mcs_lev,0.75,0.25,0.25,0.0,Cl2,2
a58,mcs_lev,0.25,0.25,0.0,0.25,Cl1,1
a59,mcs_lev,0.25,1.0,0.75,0.75,Cl4,4
a60,mcs_lev,0.25,0.75,0.0,0.25,Cl3,3
a61,mcs_lev,1.0,0.25,1.0,0.75,Cl3,3
a62,mcs_lev,0.25,0.5,0.0,1.0,Cl3,3
a63,mcs_lev,1.0,0.25,1.0,0.25,Cl3,3
a64,mcs_lev,0.75,0.75,0.25,0.25,Cl3,3
a65,mcs_lev,0.25,0.5,0.0,0.0,Cl2,2
a66,mcs_lev,0.5,0.0,0.25,0.5,Cl2,2
a67,mcs_lev,0.5,0.0,0.0,0.0,Cl1,1
a68,mcs_lev,1.0,0.5,0.25,1.0,Cl4,4
a69,mcs_lev,0.5,0.25,0.75,1.0,Cl3,3
a70,mcs_lev,1.0,0.25,0.25,0.75,Cl3,3
a71,mcs_lev,0.25,1.0,0.0,0.75,Cl3,3
a72,mcs_lev,0.5,0.5,0.25,0.5,Cl3,3
a73,mcs_lev,0.5,0.25,1.0,1.0,Cl3,3
a74,mcs_lev,0.0,0.75,0.75,0.0,Cl2,2
a75,mcs_lev,0.5,0.5,1.0,0.0,Cl2,2
a76,mcs_lev,0.75,0.25,0.5,0.0,Cl2,2
a77,mcs_lev,0.0,1.0,1.0,1.0,Cl3,3
a78,mcs_lev,1.0,0.75,0.5,0.5,Cl4,4
a79,mcs_lev,0.25,0.25,0.25,0.0,Cl1,1
a80,mcs_lev,0.25,0.5,1.0,0.75,Cl3,3
a81,mcs_lev,0.75,0.0,0.75,0.75,Cl2,2
a82,mcs_lev,0.5,0.5,0.0,0.0,Cl2,2
a83,mcs_lev,0.25,1.0,0.25,0.25,Cl3,3
a84,mcs_lev,1.0,0.75,0.0,1.0,Cl4,4
a85,mcs_lev,0.75,0.75,0.0,0.75,Cl4,4
a86,mcs_lev,1.0,0.5,0.25,0.5,Cl3,3
