alternative_id,dataset_id,g1,g2,g3,g4,g5,class_label,class_index
a1,mcs_mmg,0.054545,0.230769,1.0,0.75,0.0,Cl1,1
a2,mcs_mmg,0.0,0.358974,0.666667,0.75,0.0,Cl1,1
a3,mcs_mmg,0.109091,0.846154,0.0,0.75,1.0,Cl2,2
a4,mcs_mmg,1.0,0.115385,1.0,0.75,1.0,Cl2,2
a5,mcs_mmg,0.036364,0.307692,1.0,0.25,0.333333,Cl1,1
a6,mcs_mmg,0.036364,0.076923,0.333333,0.25,1.0,Cl1,1
a7,mcs_mmg,0.090909,0.435897,0.0,0.0,0.666667,Cl1,1
a8,mcs_mmg,0.072727,0.423077,1.0,0.5,1.0,Cl2,2
a9,mcs_mmg,0.109091,0.153846,0.666667,1.0,0.666667,Cl2,2
a10,mcs_mmg,0.0,0.474359,1.0,0.25,0.666667,Cl2,2
a11,mcs_mmg,0.0,0.589744,0.0,0.0,0.666667,Cl1,1
a12,mcs_mmg,0.090909,0.692308,1.0,0.5,0.666667,Cl2,2
a13,mcs_mmg,0.0,0.346154,1.0,0.5,0.0,Cl1,1
a14,mcs_mmg,1.0,0.641026,0.666667,0.25,0.333333,Cl2,2
a15,mcs_mmg,0.090909,0.205128,0.333333,0.5,0.0,Cl1,1
a16,mcs_mmg,0.090909,0.205128,0.666667,0.5,0.333333,Cl1,1
a17,mcs_mmg,0.0,0.179487,0.0,0.25,0.666667,Cl1,1
a18,mcs_mmg,0.090909,0.0,0.0,0.5,1.0,Cl1,1
a19,mcs_mmg,0.109091,0.448718,0.333333,0.75,0.333333,Cl1,1
a20,mcs_mmg,1.0,0.358974,0.0,0.5,1.0,Cl2,2
a21,mcs_mmg,0.109091,0.705128,1.0,0.75,1.0,Cl2,2
a22,mcs_mmg,0.0,0.461538,0.333333,0.0,0.666667,Cl1,1
a23,mcs_mmg,0.109091,0.871795,0.666667,1.0,0.666667,Cl2,2
a24,mcs_mmg,1.0,0.166667,0.666667,0.0,0.0,Cl1,1
a25,mcs_mmg,0.0,0.564103,0.666667,1.0,0.333333,Cl2,2
a26,mcs_mmg,0.054545,0.538462,0.0,1.0,1.0,Cl2,2
a27,mcs_mmg,0.072727,0.089744,1.0,0.25,0.333333,Cl1,1
a28,mcs_mmg,0.090909,0.230769,1.0,0.75,0.0,Cl1,1
a29,mcs_mmg,0.109091,0.166667,1.0,0.5,0.333333,Cl1,1
a30,mcs_mmg,0.0,0.166667,1.0,0.25,1.0,Cl1,1
a31,mcs_mmg,0.036364,0.333333,1.0,0.0,0.0,Cl1,1
a32,mcs_mmg,0.090909,0.384615,0.0,0.5,1.0,Cl1,1
a33,mcs_mmg,1.0,0.410256,1.0,0.5,0.333333,Cl2,2
a34,mcs_mmg,0.054545,0.012821,1.0,0.5,0.0,Cl1,1
a35,mcs_mmg,0.109091,0.423077,0.666667,0.5,0.333333,Cl1,1
a36,mcs_mmg,0.054545,0.782051,0.333333,0.0,0.0,Cl1,1
a37,mcs_mmg,0.072727,0.217949,1.0,0.0,1.0,Cl1,1
a38,mcs_mmg,0.036364,0.25641,1.0,0.0,0.333333,Cl1,1
a39,mcs_mmg,0.036364,0.75641,1.0,1.0,0.666667,Cl2,2
a40,mcs_mmg,0.072727,0.294872,1.0,0.5,0.0,Cl1,1
a41,mcs_mmg,0.0,0.769231,0.333333,0.75,0.0,Cl2,2
a42,mcs_mmg,0.090909,0.858974,0.0,0.75,0.333333,Cl2,2
a43,mcs_mmg,0.0,0.884615,0.0,0.25,0.333333,Cl1,1
a44,mcs_mmg,0.0,0.076923,0.666667,0.25,0.0,Cl1,1
a45,mcs_mmg,1.0,0.371795,1.0,0.75,0.666667,Cl2,2
a46,mcs_mmg,0.0,0.807692,0.333333,0.75,0.0,Cl2,2
a47,mcs_mmg,0.036364,0.371795,0.666667,0.0,1.0,Cl1,1
a48,mcs_mmg,0.090909,0.576923,0.666667,0.0,1.0,Cl1,1
a49,mcs_mmg,1.0,0.166667,0.0,0.75,0.666667,Cl1,1
a50,mcs_mmg,0.0,0.833333,0.0,0.75,1.0,Cl2,2
a51,mcs_mmg,0.090909,0.179487,1.0,1.0,1.0,Cl2,2
a52,mcs_mmg,0.072727,0.307692,1.0,0.5,0.333333,Cl1,1
a53,mcs_mmg,0.054545,0.884615,0.666667,0.75,0.333333,Cl2,2
a54,mcs_mmg,0.036364,0.589744,0.0,0.0,0.0,Cl1,1
a55,mcs_mmg,0.090909,0.666667,1.0,0.25,0.666667,Cl2,2
a56,mcs_mmg,0.109091,0.487179,0.333333,0.0,0.333333,Cl1,1
a57,mcs_mmg,0.054545,0.217949,0.333333,0.0,1.0,Cl1,1
a58,mcs_mmg,0.0,0.641026,1.0,0.25,1.0,Cl2,2
a59,mcs_mmg,0.072727,0.512821,0.0,0.5,0.333333,Cl1,1
a60,mcs_mmg,0.072727,0.615385,0.666667,1.0,0.0,Cl2,2
a61,mcs_mmg,0.036364,0.166667,0.666667,0.0,1.0,Cl1,1
a62,mcs_mmg,0.0,0.512821,0.0,1.0,0.0,Cl1,1
a63,mcs_mmg,0.036364,0.525641,0.666667,0.75,1.0,Cl2,2
a64,mcs_mmg,0.054545,0.705128,1.0,0.75,0.666667,Cl2,2
a65,mcs_mmg,1.0,0.115385,0.0,0.5,0.666667,Cl1,1
a66,mcs_mmg,0.109091,0.448718,0.333333,0.25,0.0,Cl1,1
a67,mcs_mmg,1.0,0.076923,0.333333,1.0,1.0,Cl2,2
a68,mcs_mmg,0.054545,0.705128,0.0,0.75,0.333333,Cl2,2
a69,mcs_mmg,0.054545,0.192308,1.0,0.5,0.666667,Cl1,1
a70,mcs_mmg,0.090909,0.833333,0.333333,0.0,0.333333,Cl1,1
a71,mcs_mmg,0.109091,0.564103,1.0,0.0,0.0,Cl1,1
a72,mcs_mmg,0.036364,0.474359,0.666667,0.5,0.666667,Cl2,2
a73,mcs_mmg,0.072727,0.24359,0.666667,0.5,1.0,Cl1,1
a74,mcs_mmg,0.072727,0.589744,1.0,1.0,1.0,Cl2,2
a75,mcs_mmg,0.0,0.320513,0.333333,0.5,0.333333,Cl1,1
a76,mcs_mmg,1.0,0.782051,0.333333,0.25,0.0,Cl2,2
a77,mcs_mmg,0.036364,0.666667,1.0,0.25,0.666667,Cl2,2
a78,mcs_mmg,0.054545,0.782051,0.0,0.0,0.666667,Cl1,1
a79,mcs_mmg,0.054545,0.371795,0.333333,0.5,0.333333,Cl1,1
a80,mcs_mmg,0.0,0.448718,0.666667,0.75,1.0,Cl2,2
a81,mcs_mmg,1.0,0.551282,1.0,0.5,0.666667,Cl2,2
a82,mcs_mmg,0.072727,0.038462,0.333333,0.0,1.0,Cl1,1
a83,mcs_mmg,0.036364,0.858974,1.0,0.75,0.0,Cl2,2
a84,mcs_mmg,0.072727,1.0,0.0,1.0,0.333333,Cl2,2
a85,mcs_mmg,0.072727,0.871795,0.0,0.25,1.0,Cl2,2
a86,mcs_mmg,0.109091,0.192308,0.666667,0.0,0.0,Cl1,1
a87,mcs_mmg,0.090909,1.0,1.0,1.0,1.0,Cl2,2
a88,mcs_mmg,0.072727,0.217949,0.666667,0.25,1.0,Cl1,1
a89,mcs_mmg,0.109091,0.512821,1.0,0.5,0.0,Cl2,2
a90,mcs_mmg,0.054545,0.653846,1.0,0.0,0.666667,Cl2,2
a91,mcs_mmg,0.072727,0.897436,1.0,0.75,1.0,Cl2,2
a92,mcs_mmg,0.072727,0.320513,0.0,0.25,0.666667,Cl1,1
a93,mcs_mmg,0.0,0.564103,1.0,0.0,0.666667,Cl2,2
a94,mcs_mmg,0.054545,0.833333,0.0,0.25,0.333333,Cl1,1
a95,mcs_mmg,0.0,0.076923,0.0,0.25,1.0,Cl1,1
a96,mcs_mmg,0.090909,0.064103,0.666667,0.25,1.0,Cl1,1
a97,mcs_mmg,0.072727,0.371795,0.666667,0.0,0.0,Cl1,1
a98,mcs_mmg,0.090909,0.871795,1.0,0.75,0.666667,Cl2,2
a99,mcs_mmg,0.036364,0.333333,0.0,0.25,0.666667,Cl1,1
a100,mcs_mmg,0.072727,0.564103,0.333333,0.25,1.0,Cl1,1
a101,mcs_mmg,0.054545,0.423077,1.0,1.0,0.0,Cl2,2
a102,mcs_mmg,1.0,0.269231,0.333333,0.0,0.666667,Cl1,1
a103,mcs_mmg,0.072727,0.666667,0.0,1.0,0.0,Cl2,2
a104,mcs_mmg,0.0,0.769231,1.0,1.0,0.666667,Cl2,2
a105,mcs_mmg,0.036364,0.487179,0.333333,0.0,0.666667,Cl1,1
a106,mcs_mmg,0.036364,0.448718,1.0,0.0,1.0,Cl1,1
a107,mcs_mmg,0.054545,0.74359,0.666667,0.25,0.0,Cl2,2
a108,mcs_mmg,0.036364,0.115385,0.0,0.25,0.0,Cl1,1
a109,mcs_mmg,0.090909,0.512821,0.666667,0.25,1.0,Cl2,2
a110,mcs_mmg,0.054545,0.012821,1.0,0.25,0.333333,Cl1,1
a111,mcs_mmg,0.072727,0.961538,1.0,0.75,0.0,Cl2,2
a112,mcs_mmg,0.109091,0.064103,0.333333,1.0,0.0,Cl1,1
a113,mcs_mmg,0.036364,0.358974,0.0,1.0,1.0,Cl2,2
a114,mcs_mmg,0.054545,0.730769,0.333333,0.0,0.0,Cl1,1
a115,mcs_mmg,0.054545,0.153846,0.333333,0.5,0.0,Cl1,1
a116,mcs_mmg,0.0,0.192308,0.0,0.75,0.333333,Cl1,1
a117,mcs_mmg,0.090909,0.179487,0.0,1.0,0.666667,Cl1,1
a118,mcs_mmg,0.0,0.307692,0.333333,0.25,1.0,Cl1,1
a119,mcs_mmg,0.109091,0.679487,0.333333,0.0,0.0,Cl1,1
a120,mcs_mmg,0.109091,0.205128,0.0,0.5,0.666667,Cl1,1
a121,mcs_mmg,0.072727,0.230769,0.333333,0.25,1.0,Cl1,1
a122,mcs_mmg,0.072727,0.128205,0.333333,0.25,1.0,Cl1,1
a123,mcs_mmg,0.054545,0.461538,0.666667,0.25,0.333333,Cl1,1
a124,mcs_mmg,1.0,0.692308,1.0,1.0,0.666667,Cl2,2
a125,mcs_mmg,0.072727,0.269231,0.666667,0.75,0.666667,Cl2,2
a126,mcs_mmg,0.0,0.371795,0.333333,0.0,0.333333,Cl1,1
a127,mcs_mmg,0.036364,0.512821,0.666667,0.75,0.666667,Cl2,2
a128,mcs_mmg,0.054545,0.384615,0.666667,1.0,0.333333,Cl2,2
a129,mcs_mmg,1.0,0.551282,0.333333,0.75,1.0,Cl2,2
a130,mcs_mmg,0.072727,0.576923,0.0,0.75,0.666667,Cl2,2
a131,mcs_mmg,0.090909,0.089744,0.666667,0.0,1.0,Cl1,1
a132,mcs_mmg,0.109091,0.653846,0.666667,0.0,0.666667,Cl1,1
a133,mcs_mmg,0.109091,0.217949,0.666667,0.75,1.0,Cl2,2
a134,mcs_mmg,0.054545,0.346154,0.333333,0.25,0.666667,Cl1,1
a135,mcs_mmg,0.054545,0.551282,0.666667,1.0,1.0,Cl2,2
a136,mcs_mmg,0.036364,0.192308,0.0,1.0,0.666667,Cl1,1
a137,mcs_mmg,0.109091,0.679487,1.0,0.0,0.333333,Cl2,2
a138,mcs_mmg,1.0,0.153846,1.0,0.5,0.666667,Cl2,2
a139,mcs_mmg,0.0,0.692308,0.0,1.0,0.0,Cl2,2
a140,mcs_mmg,0.0,0.858974,0.333333,1.0,0.0,Cl2,2
a141,mcs_mmg,0.054545,0.512821,0.666667,0.75,0.333333,Cl2,2
a142,mcs_mmg,0.072727,0.153846,0.333333,0.0,1.0,Cl1,1
a143,mcs_mmg,0.072727,0.576923,1.0,0.5,1.0,Cl2,2
a144,mcs_mmg,0.0,0.730769,0.333333,0.25,0.666667,Cl2,2
a145,mcs_mmg,0.036364,0.166667,0.0,0.75,1.0,Cl1,1
a146,mcs_mmg,1.0,0.576923,1.0,0.75,0.333333,Cl2,2
a147,mcs_mmg,0.054545,0.205128,0.666667,0.0,0.333333,Cl1,1
a148,mcs_mmg,0.072727,0.730769,0.666667,0.0,0.0,Cl1,1
a149,mcs_mmg,0.090909,0.294872,0.666667,0.5,1.0,Cl1,1
a150,mcs_mmg,0.054545,0.461538,0.0,0.25,0.666667,Cl1,1
a151,mcs_mmg,0.054545,0.064103,0.666667,0.75,1.0,Cl1,1
a152,mcs_mmg,0.072727,0.653846,0.666667,0.5,0.666667,Cl2,2
a153,mcs_mmg,0.072727,0.192308,1.0,1.0,0.0,Cl2,2
