alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a1,polish_research_units_all,HS,0.3563188925916432,0.04644646984957785,0.0031002779559546716,0.3,Cl2,2
a2,polish_research_units_all,SI,0.29434760317867215,0.0007541847828136372,0.0,0.17,Cl1,1
a3,polish_research_units_all,NJN,0.7856959753909254,0.029213347562286236,0.0508873209322215,0.5372,Cl3,3
a4,polish_research_units_all,SI,0.41252243014611645,0.3672615927628428,0.021595039555270472,0.92,Cl3,3
a5,polish_research_units_all,SI,0.5800435785695977,0.1745145878191616,0.03666880478939491,0.81,Cl3,3
a6,polish_research_units_all,SI,0.8036400922840298,0.28087726773936883,0.04286936070130425,1.0,Cl4,4
a7,polish_research_units_all,SI,0.3220968982312228,0.192622564454517,0.01860166773572803,0.76,Cl2,2
a8,polish_research_units_all,NZ,0.45014098948987435,0.42460603272407776,0.25956809920889456,1.0,Cl3,3
a9,polish_research_units_all,SI,0.29075877980005127,0.28094514436982204,0.0512080393414582,0.84,Cl2,2
a10,polish_research_units_all,NJN,0.3090874134837221,0.035182720118256176,0.004917682274962583,0.451,Cl2,2
a11,polish_research_units_all,SI,0.6031145860035888,0.42272057076704367,0.0540945050245884,0.92,Cl4,4
a12,polish_research_units_all,SI,0.8317098179953859,0.3924475935849043,0.05142185161428265,0.95,Cl4,4
a13,polish_research_units_all,SI,0.5723532427582672,0.413281948210131,0.07772076117169124,0.94,Cl3,3
a14,polish_research_units_all,SI,0.5698538836195848,0.2820085449135893,0.04554201411161,0.85,Cl3,3
a15,polish_research_units_all,SI,0.6097154575749808,0.05908283588562034,0.0019243104554201409,0.55,Cl3,3
a16,polish_research_units_all,SI,0.6947577544219431,0.2704657468126266,0.14175753688261705,0.5,Cl3,3
a17,polish_research_units_all,SI,0.5658805434503974,0.1260695282951276,0.03773786615351721,0.4,Cl2,2
a18,polish_research_units_all,SI,0.3401691873878493,0.15197954650869008,0.14667521915757964,0.79,Cl3,3
a19,polish_research_units_all,HS,0.35548577287874905,0.07822781659734451,0.0036348086380158223,0.4,Cl3,3
a20,polish_research_units_all,HS,0.27550628044091263,0.07398552719401781,0.0006414368184733803,0.33,Cl2,2
a21,polish_research_units_all,HS,0.24737246859779546,0.07716064512966322,0.0005345306820611503,0.16,Cl1,1
a22,polish_research_units_all,HS,0.15105101256088183,0.0,0.0,0.05,Cl1,1
a23,polish_research_units_all,HS,0.19020763906690594,0.008182904893527963,0.0,0.15,Cl2,2
a24,polish_research_units_all,HS,0.16130479364265574,0.005494236142797347,0.0,0.15,Cl1,1
a25,polish_research_units_all,NJN,0.19495001281722638,0.011233582340009126,0.0,0.184,Cl1,1
