alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a1,polish_research_units_hs,HS,0.5008557787586704,0.0636909409629396,0.0031002779559546716,0.3,Cl2,2
a19,polish_research_units_hs,HS,0.4996847130889109,0.10727194692507769,0.0036348086380158223,0.4,Cl3,3
a20,polish_research_units_hs,HS,0.38726240879200075,0.10145459622415157,0.0006414368184733803,0.33,Cl2,2
a21,polish_research_units_hs,HS,0.347716421943969,0.10580856003764473,0.0005345306820611503,0.16,Cl1,1
a22,polish_research_units_hs,HS,0.2123232141248536,0.0,0.0,0.05,Cl1,1
a23,polish_research_units_hs,HS,0.26736330060354924,0.011221023129786387,0.0,0.15,Cl2,2
a24,polish_research_units_hs,HS,0.22673633006035493,0.007534115529999432,0.0,0.15,Cl1,1
a29,polish_research_units_hs,HS,0.3386181425096838,0.04926391122464282,0.002245028864656831,0.25,Cl2,2
a31,polish_research_units_hs,HS,0.41149445995856226,0.4822299327255711,0.005879837502672653,0.7,Cl3,3
a32,polish_research_units_hs,HS,0.25925592288982974,0.18698257897376766,0.005024588411374813,0.42,Cl1,1
a34,polish_research_units_hs,HS,0.3296099450499955,0.010295417996039032,0.0010690613641223005,0.21,Cl1,1
a39,polish_research_units_hs,HS,0.41068372218719035,0.12863325869887843,0.01967072909985033,0.15,Cl2,2
a69,polish_research_units_hs,HS,0.356184127556076,0.2671068892945234,0.0027795595467179817,0.63,Cl2,2
a70,polish_research_units_hs,HS,0.37582199801819655,0.049041559153407424,0.002245028864656831,0.46,Cl2,2
a71,polish_research_units_hs,HS,0.3874425727411944,0.12113016903928393,0.004276245456489202,0.61,Cl2,2
a73,polish_research_units_hs,HS,0.2608773984325736,0.05646191315858874,0.002245028864656831,0.4,Cl1,1
a104,polish_research_units_hs,HS,0.22115124763534816,0.024820696323951456,0.0,0.33,Cl1,1
a109,polish_research_units_hs,HS,0.39203675344563554,0.3914275520071153,0.004062433183664742,0.42,Cl2,2
a110,polish_research_units_hs,HS,0.2824970723358256,0.058949153769384706,0.0,0.22,Cl1,1
a111,polish_research_units_hs,HS,0.3251959282947482,0.4402209041972832,0.010690613641223005,0.37,Cl2,2
a117,polish_research_units_hs,HS,0.36149896405729215,0.055045065076763176,0.0005345306820611503,0.64,Cl2,2
a120,polish_research_units_hs,HS,0.4166291325105846,0.036925956760278614,0.002031216591832371,0.3,Cl2,2
a139,polish_research_units_hs,HS,0.3443833888838843,0.001034195680164644,0.0,0.43,Cl2,2
a140,polish_research_units_hs,HS,0.22115124763534816,0.003102587040493932,0.0,0.15,Cl1,1
a159,polish_research_units_hs,HS,0.44185208539771187,0.01933945921907884,0.0038486209108402817,0.27,Cl2,2
a160,polish_research_units_hs,HS,0.3328528961354833,0.14750732986188317,0.0,0.2,Cl2,2
a162,polish_research_units_hs,HS,0.4392397081344023,0.045209864158397416,0.02212957023733162,0.64,Cl2,2
a163,polish_research_units_hs,HS,0.3724889649581119,0.17244695868905358,0.006841992730382724,0.55,Cl2,2
a164,polish_research_units_hs,HS,0.29663994234753627,0.07756984699074912,0.0023519350010690614,0.57,Cl2,2
a169,polish_research_units_hs,HS,0.21169264030267543,0.018615522242963593,0.0,0.15,Cl1,1
a174,polish_research_units_hs,HS,0.1705251779118998,0.03686907599786956,0.0,0.2,Cl1,1
a175,polish_research_units_hs,HS,0.4830195477884875,0.0,0.345734445157152,0.17,Cl2,2
a179,polish_research_units_hs,HS,0.23421313395189622,0.00966972960953942,0.07483429548856103,0.15,Cl1,1
a180,polish_research_units_hs,HS,0.3836591298081254,0.2858568569759084,0.03143040410519564,0.73,Cl2,2
a182,polish_research_units_hs,HS,0.5499504549139717,0.15402276264692044,1.0,0.7,Cl3,3
a184,polish_research_units_hs,HS,0.5015764345554454,0.2649350783661777,0.023840068419927304,0.92,Cl4,4
a185,polish_research_units_hs,HS,0.3710476533645617,0.01323253372770662,0.012508017960230915,0.15,Cl2,2
a210,polish_research_units_hs,HS,0.47365102243041163,0.23609653182478657,0.09332905708787684,0.35,Cl3,3
a234,polish_research_units_hs,HS,0.4143770831456625,0.24404432562685185,0.002993371819542442,0.74,Cl3,3
a235,polish_research_units_hs,HS,0.40230609854968014,0.1402783020575323,0.006414368184733803,0.43,Cl2,2
a241,polish_research_units_hs,HS,0.4015854427529051,0.15795787720994692,0.017960230917254648,0.75,Cl3,3
a245,polish_research_units_hs,HS,0.46986757949734254,0.020606348927280534,0.01924310455420141,0.63,Cl2,2
a267,polish_research_units_hs,HS,0.4514908566795784,0.12712850398423886,0.004062433183664742,0.3,Cl2,2
a269,polish_research_units_hs,HS,0.39879290154040176,0.2079043575834984,0.006414368184733803,0.75,Cl3,3
a280,polish_research_units_hs,HS,0.1343122241239528,0.0,0.0,0.05,Cl1,1
a287,polish_research_units_hs,HS,0.3166381407080443,0.01909125225583933,0.007376523412443874,0.2,Cl1,1
a291,polish_research_units_hs,HS,0.73930276551662,0.13240290195307855,0.017532606371605728,0.87,Cl3,3
a294,polish_research_units_hs,HS,0.4401405278803711,0.0604177116352185,0.023519350010690613,0.45,Cl2,2
a296,polish_research_units_hs,HS,0.41816052607873166,0.18840459803399404,0.023305537737866155,0.75,Cl3,3
a299,polish_research_units_hs,HS,0.0,0.003102587040493932,0.0,0.15,Cl1,1
a300,polish_research_units_hs,HS,0.5156292225925593,0.2856758727318796,0.007483429548856104,0.82,Cl3,3
a302,polish_research_units_hs,HS,0.5208539771191785,0.2826663633026005,0.03570664956168484,0.8,Cl4,4
a326,polish_research_units_hs,HS,0.41311593550130615,0.2482845279155269,0.0016035920461834508,0.81,Cl3,3
a328,polish_research_units_hs,HS,0.3521304386992163,0.606431662934944,0.002138122728244601,0.76,Cl2,2
a329,polish_research_units_hs,HS,0.4314926583190703,0.47810349196171414,0.005879837502672653,0.63,Cl3,3
a330,polish_research_units_hs,HS,0.3439329790108999,0.3916550750567515,0.0011759675005345307,0.45,Cl2,2
a331,polish_research_units_hs,HS,0.4058192955589586,0.5000491242948079,0.002031216591832371,0.38,Cl3,3
a335,polish_research_units_hs,HS,0.2788037113773534,0.008790663281399474,0.0,0.15,Cl1,1
a336,polish_research_units_hs,HS,0.3017746148995586,0.08657252038658235,0.0012828736369467607,0.28,Cl2,2
a337,polish_research_units_hs,HS,0.3475362579947752,0.022995340948460858,0.007055805003207184,0.41,Cl2,2
a338,polish_research_units_hs,HS,0.24898657778578506,0.016055887934556097,0.0,0.28,Cl1,1
a340,polish_research_units_hs,HS,0.3347446176020178,0.00517097840082322,0.0,0.17,Cl1,1
a341,polish_research_units_hs,HS,0.34014953607783077,0.010859054641728762,0.0,0.15,Cl1,1
a342,polish_research_units_hs,HS,0.3855508512746599,0.008790663281399474,0.0,0.1,Cl2,2
a343,polish_research_units_hs,HS,0.1353031258445185,0.0001241034816197573,0.0,0.1,Cl1,1
a344,polish_research_units_hs,HS,0.2887127285830105,0.0,0.0,0.15,Cl1,1
a352,polish_research_units_hs,HS,0.12881722367354292,0.001551293520246966,0.0,0.14,Cl1,1
a353,polish_research_units_hs,HS,0.11107107467795693,0.01551293520246966,0.0,0.38,Cl1,1
a354,polish_research_units_hs,HS,0.0,0.0,0.0,0.39,Cl1,1
a360,polish_research_units_hs,HS,0.3963606882262859,0.004436699467906323,0.0013897797733589908,0.51,Cl2,2
a366,polish_research_units_hs,HS,0.5086929105485992,0.09860021614689717,0.04137267479153303,0.07,Cl3,3
a384,polish_research_units_hs,HS,0.27366903882533106,0.01292744600205805,0.0,0.11,Cl2,2
a385,polish_research_units_hs,HS,0.2755607602918656,0.009307761121481796,0.0,0.05,Cl2,2
a386,polish_research_units_hs,HS,0.3067291235023871,0.18874071163004752,0.0,0.36,Cl2,2
a392,polish_research_units_hs,HS,0.4392397081344023,0.09053348984161294,0.0032071840923669015,0.3,Cl2,2
a399,polish_research_units_hs,HS,0.4199621655706693,0.24915842326526602,0.0033140902287791315,0.27,Cl3,3
a408,polish_research_units_hs,HS,0.5327447977659671,0.1859742381856071,0.0038486209108402817,0.45,Cl3,3
