alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a8,polish_research_units_nz,NZ,0.5625050052054136,0.43660333462582396,0.3219732131017107,1.0,Cl3,3
a119,polish_research_units_nz,NZ,0.3228157283574918,0.007367196587824738,0.01511735844052513,0.09,Cl1,1
a121,polish_research_units_nz,NZ,0.4521502362456955,0.05245831717720046,0.009680413738231005,0.7,Cl2,2
a122,polish_research_units_nz,NZ,0.5311924401377432,0.03169833268708802,0.013393449144675773,0.58,Cl2,2
a123,polish_research_units_nz,NZ,0.4860254664851445,0.10022877084141141,0.026123856252486408,0.47,Cl2,2
a124,polish_research_units_nz,NZ,0.5681108352686793,0.11128732066692516,0.008089112849754675,0.58,Cl2,2
a125,polish_research_units_nz,NZ,0.3330663890446064,0.019775106630476928,0.015382575255271183,0.53,Cl2,2
a126,polish_research_units_nz,NZ,0.4750540562184672,0.15987592089957348,0.014852141625779077,0.44,Cl2,2
a128,polish_research_units_nz,NZ,0.45727556658925284,0.19996510275300505,0.009282588516111922,0.47,Cl2,2
a129,polish_research_units_nz,NZ,0.3553295427244334,0.05941450174486235,0.009017371701365868,0.56,Cl1,1
a130,polish_research_units_nz,NZ,0.5607431728998158,0.09708801861186506,0.02241082084604164,0.52,Cl2,2
a131,polish_research_units_nz,NZ,0.488427965083687,0.20123303606048856,0.027980373955708793,0.72,Cl3,3
a132,polish_research_units_nz,NZ,0.45647473372307196,0.14797208220240404,0.015913008884763293,0.55,Cl2,2
a133,polish_research_units_nz,NZ,0.3889645231040282,0.18514928266770067,0.022808646068160722,0.54,Cl2,2
a134,polish_research_units_nz,NZ,0.49443421158004325,0.04780922838309422,0.0033152101843256865,0.4,Cl2,2
a135,polish_research_units_nz,NZ,0.5440057659966365,0.15330360604885615,0.018565177032223844,0.39,Cl2,2
a136,polish_research_units_nz,NZ,0.37911427885000404,0.06318340442031795,0.009945630552977059,0.21,Cl1,1
a137,polish_research_units_nz,NZ,0.4271642508208537,0.2004032570763862,0.03288688502851081,0.62,Cl3,3
a153,polish_research_units_nz,NZ,0.5659485865299911,0.028879410624272975,0.9340936215356054,0.22,Cl3,3
a155,polish_research_units_nz,NZ,0.5911748218146872,0.2613881349360217,0.01936082747646201,0.77,Cl3,3
a157,polish_research_units_nz,NZ,0.5391206855129334,0.5161613028305545,0.048799893913274106,0.88,Cl2,2
a165,polish_research_units_nz,NZ,0.7893809561944422,0.04044978673904614,0.1970560933563188,0.62,Cl3,3
a167,polish_research_units_nz,NZ,0.5460879314487066,0.08763861962000775,0.1564779207001724,0.61,Cl3,3
a170,polish_research_units_nz,NZ,0.7877792904620806,0.18633578906552928,0.0135260575520488,0.92,Cl3,3
a171,polish_research_units_nz,NZ,0.5941379034195563,0.6992943001163242,0.009415196923484949,0.8,Cl3,3
a172,polish_research_units_nz,NZ,0.6145591415071674,0.18423807677394338,0.0033152101843256865,0.7,Cl3,3
a176,polish_research_units_nz,NZ,0.6998478417554256,0.2112097712291586,0.019626044291208063,0.63,Cl3,3
a177,polish_research_units_nz,NZ,0.8072395291102746,0.3023303606048856,0.11536931441453388,0.78,Cl4,4
a178,polish_research_units_nz,NZ,0.9007768078801954,0.22464908879410625,0.10104760641824692,0.75,Cl4,4
a188,polish_research_units_nz,NZ,0.32185472891807476,0.24815820085304383,0.4903858904654555,0.75,Cl2,2
a189,polish_research_units_nz,NZ,0.9134299671658525,0.4726638231872819,0.11709322371038325,0.8,Cl4,4
a192,polish_research_units_nz,NZ,0.8183711059501881,0.5094998061264056,0.16867789417849094,0.8,Cl3,3
a193,polish_research_units_nz,NZ,0.7653559702090172,0.10797208220240402,0.06895637183397428,0.45,Cl3,3
a194,polish_research_units_nz,NZ,0.8874829823015936,0.06782473827064753,0.06590637846439464,0.3,Cl3,3
a196,polish_research_units_nz,NZ,0.20421238087611115,0.09330748352074447,0.07571940060999868,0.39,Cl1,1
a198,polish_research_units_nz,NZ,0.693441178825979,0.16616130283055447,0.016443442514255405,0.2,Cl2,2
a208,polish_research_units_nz,NZ,0.7832145431248498,0.09235750290810392,0.1405649118154091,0.69,Cl3,3
a214,polish_research_units_nz,NZ,0.22807720028829984,0.1798526560682435,0.0782389603500862,0.7,Cl1,1
a215,polish_research_units_nz,NZ,0.7962681188435974,0.2909732454439705,0.0767802678689829,0.6,Cl3,3
a217,polish_research_units_nz,NZ,0.7655962200688715,0.06774718883288096,0.4307121071475931,0.85,Cl3,3
a218,polish_research_units_nz,NZ,0.5245455273484424,0.05536642109344707,0.011802148256199444,0.65,Cl1,1
a224,polish_research_units_nz,NZ,0.7280371586449907,0.1857464133385033,0.11046280334173188,0.4,Cl2,2
a225,polish_research_units_nz,NZ,0.7028910066469127,0.17311748739821636,0.05543031428192547,0.85,Cl3,3
a226,polish_research_units_nz,NZ,0.7074557539841435,0.155436215587437,0.05688900676302878,0.65,Cl3,3
a228,polish_research_units_nz,NZ,0.7609513894450227,0.17501744862349747,0.13844317729744066,0.95,Cl4,4
a229,polish_research_units_nz,NZ,0.49611596059902296,0.11429623885226832,0.01723909295849357,0.81,Cl2,2
a232,polish_research_units_nz,NZ,0.6014254825018018,0.11459480418766965,0.002519559740087522,0.73,Cl2,2
a233,polish_research_units_nz,NZ,0.7519019780571794,0.1604691740984878,0.09030632542103169,0.71,Cl3,3
a236,polish_research_units_nz,NZ,0.3610955393609354,0.16073284218689413,0.03646731202758255,0.55,Cl2,2
