alternative_id,dataset_id,subset,g1,g2,g3,g4,class_label,class_index
a2,polish_research_units_si,SI,0.29434760317867215,0.0007541847828136372,0.0,0.17,Cl1,1
a4,polish_research_units_si,SI,0.41252243014611645,0.3672615927628428,0.02251699921970795,0.92,Cl3,3
a5,polish_research_units_si,SI,0.5800435785695977,0.1745145878191616,0.038234310556236765,0.81,Cl3,3
a6,polish_research_units_si,SI,0.8036400922840298,0.28087726773936883,0.04469958755991529,1.0,Cl4,4
a7,polish_research_units_si,SI,0.3220968982312228,0.192622564454517,0.01939583101103556,0.76,Cl2,2
a9,polish_research_units_si,SI,0.29075877980005127,0.28094514436982204,0.05339427042693123,0.84,Cl2,2
a11,polish_research_units_si,SI,0.6031145860035888,0.42272057076704367,0.05640396834243674,0.92,Cl4,4
a12,polish_research_units_si,SI,0.8317098179953859,0.3924475935849043,0.053617211013264963,0.95,Cl4,4
a13,polish_research_units_si,SI,0.5723532427582672,0.413281948210131,0.08103890313231524,0.94,Cl3,3
a14,polish_research_units_si,SI,0.5698538836195848,0.2820085449135893,0.04748634488908706,0.85,Cl3,3
a15,polish_research_units_si,SI,0.6097154575749808,0.05908283588562034,0.0020064652770036785,0.55,Cl3,3
a16,polish_research_units_si,SI,0.6947577544219431,0.2704657468126266,0.147809608739271,0.5,Cl3,3
a17,polish_research_units_si,SI,0.5658805434503974,0.1260695282951276,0.039349013487905475,0.4,Cl2,2
a18,polish_research_units_si,SI,0.3401691873878493,0.15197954650869008,0.15293724222494706,0.79,Cl3,3
a26,polish_research_units_si,SI,0.2585875416559857,0.0009050217393763646,0.0,0.26,Cl1,1
a33,polish_research_units_si,SI,0.24198923352986415,0.06297820028885277,0.10210678854085387,0.58,Cl2,2
a35,polish_research_units_si,SI,0.2701230453729813,0.06462609403930057,0.048823988407089514,0.59,Cl2,2
a36,polish_research_units_si,SI,0.33247885157651885,0.08869213045888373,0.007579979935347231,0.35,Cl2,2
a37,polish_research_units_si,SI,0.32991540630607535,0.04505876984920075,0.009363504626017167,0.55,Cl2,2
a38,polish_research_units_si,SI,0.21116380415278135,0.10560472421347955,0.03020844944822205,0.2,Cl1,1
a41,polish_research_units_si,SI,0.2710202512176365,0.09197283426412306,0.014268197525359494,0.55,Cl2,2
a42,polish_research_units_si,SI,0.23179953857985133,0.13845324242892754,0.03288373648422696,0.83,Cl1,1
a116,polish_research_units_si,SI,0.3214560369136119,0.11224532122615363,0.0357819641065656,0.59,Cl2,2
a118,polish_research_units_si,SI,0.44591130479364266,0.07869164023877491,0.006688217590012262,0.25,Cl1,1
a141,polish_research_units_si,SI,0.0,0.015604083156414155,0.9029093746516554,0.17,Cl1,1
a142,polish_research_units_si,SI,0.2612791591899513,0.04947075082866053,0.1316464162300747,0.54,Cl2,2
a143,polish_research_units_si,SI,0.3896436811074084,0.20329050820741593,0.48500724556905583,0.74,Cl3,3
