alternative_id,dataset_id,rank,university_name_raw,g1,g2,g3,g4,g5,g6,class_index,class_label
qs_2022_top500_common6_1,qs_2022_top500_common6,1,麻省理工学院,0.914,1.0,1.0,1.0,1.0,1.0,5,Cl5
qs_2022_top500_common6_2,qs_2022_top500_common6,2,牛津大学,0.985,0.995,1.0,0.96,1.0,1.0,5,Cl5
qs_2022_top500_common6_3,qs_2022_top500_common6,3,斯坦福大学,0.67,0.998,1.0,0.9990000000000001,1.0,1.0,5,Cl5
qs_2022_top500_common6_3,qs_2022_top500_common6,3,剑桥大学,0.977,1.0,1.0,0.9209999999999999,1.0,1.0,5,Cl5
qs_2022_top500_common6_5,qs_2022_top500_common6,5,哈佛大学,0.701,0.8420000000000001,0.991,1.0,1.0,1.0,5,Cl5
qs_2022_top500_common6_6,qs_2022_top500_common6,6,加州理工大学（Caltech),0.877,0.9940000000000001,1.0,1.0,0.9670000000000001,0.899,5,Cl5
qs_2022_top500_common6_7,qs_2022_top500_common6,7,帝国理工学院,1.0,1.0,0.998,0.8809999999999999,0.9840000000000001,0.998,5,Cl5
qs_2022_top500_common6_8,qs_2022_top500_common6,8,苏黎世联邦理工大学（瑞士联邦理工学院）,0.982,1.0,0.804,0.998,0.987,0.953,5,Cl5
qs_2022_top500_common6_8,qs_2022_top500_common6,8,伦敦大学学院,1.0,0.995,0.99,0.78,0.9940000000000001,0.9890000000000001,5,Cl5
qs_2022_top500_common6_10,qs_2022_top500_common6,10,芝加哥大学,0.8490000000000001,0.7190000000000001,0.955,0.9059999999999999,0.992,0.935,5,Cl5
qs_2022_top500_common6_11,qs_2022_top500_common6,11,新加坡国立大学,0.703,1.0,0.868,0.9059999999999999,0.996,0.971,5,Cl5
qs_2022_top500_common6_12,qs_2022_top500_common6,12,南洋理工大学,0.696,1.0,0.895,0.955,0.9109999999999999,0.85,5,Cl5
qs_2022_top500_common6_13,qs_2022_top500_common6,13,宾夕法尼亚大学,0.581,0.941,1.0,0.74,0.9620000000000001,0.938,5,Cl5
qs_2022_top500_common6_14,qs_2022_top500_common6,14,洛桑联邦理工学院（EPFL),1.0,1.0,0.948,0.998,0.8240000000000001,0.797,5,Cl5
qs_2022_top500_common6_14,qs_2022_top500_common6,14,耶鲁大学,0.698,0.879,1.0,0.599,0.9990000000000001,1.0,5,Cl5
