alternative_id,dataset_id,rank,university_name_raw,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,class_index,class_label
qs_2026_top500_all10_1,qs_2026_top500_all10,1,麻省理工学院 United States,0.9159999999999999,0.941,1.0,1.0,1.0,1.0,1.0,1.0,0.938,0.9229999999999999,5,Cl5
qs_2026_top500_all10_2,qs_2026_top500_all10,2,帝国理工学院,1.0,0.975,1.0,0.993,0.95,0.996,1.0,0.9590000000000001,0.983,1.0,5,Cl5
qs_2026_top500_all10_3,qs_2026_top500_all10,3,斯坦福大学,0.735,0.965,0.9420000000000001,1.0,0.997,1.0,1.0,1.0,0.9540000000000001,0.7609999999999999,5,Cl5
qs_2026_top500_all10_4,qs_2026_top500_all10,4,牛津大学,0.986,1.0,0.988,1.0,0.91,1.0,1.0,1.0,0.779,0.987,5,Cl5
qs_2026_top500_all10_5,qs_2026_top500_all10,5,哈佛大学,0.8140000000000001,0.9940000000000001,0.7909999999999999,0.983,1.0,1.0,1.0,1.0,0.778,0.606,5,Cl5
qs_2026_top500_all10_6,qs_2026_top500_all10,6,剑桥大学,0.9309999999999999,0.992,1.0,1.0,0.8859999999999999,1.0,1.0,1.0,0.784,0.9359999999999999,5,Cl5
qs_2026_top500_all10_7,qs_2026_top500_all10,7,苏黎世联邦理工大学（瑞士联邦理工学院）,0.993,0.958,1.0,0.7170000000000001,0.988,0.997,0.963,0.95,0.996,0.7390000000000001,5,Cl5
qs_2026_top500_all10_8,qs_2026_top500_all10,8,新加坡国立大学,0.9690000000000001,0.924,1.0,0.715,0.9590000000000001,0.9990000000000001,0.982,1.0,0.9,0.721,5,Cl5
qs_2026_top500_all10_9,qs_2026_top500_all10,9,伦敦大学学院,1.0,0.9990000000000001,0.996,0.948,0.809,0.9990000000000001,0.9940000000000001,0.893,0.985,1.0,5,Cl5
qs_2026_top500_all10_10,qs_2026_top500_all10,10,加州理工大学（Caltech),0.907,0.618,1.0,1.0,1.0,0.983,0.992,0.491,0.792,0.914,5,Cl5
qs_2026_top500_all10_11,qs_2026_top500_all10,11,香港大学（HKU）,1.0,0.823,1.0,0.853,0.966,0.993,0.825,0.998,0.848,1.0,5,Cl5
qs_2026_top500_all10_12,qs_2026_top500_all10,12,南洋理工大学,0.9309999999999999,0.8690000000000001,1.0,0.8390000000000001,0.946,0.971,0.914,0.877,0.872,0.9359999999999999,5,Cl5
qs_2026_top500_all10_13,qs_2026_top500_all10,13,芝加哥大学,0.9279999999999999,0.877,0.861,0.973,0.7809999999999999,0.998,0.993,0.998,0.733,0.691,5,Cl5
qs_2026_top500_all10_14,qs_2026_top500_all10,14,北京大学,0.373,0.8320000000000001,0.599,0.9620000000000001,0.992,0.9990000000000001,0.996,0.97,0.706,0.27899999999999997,5,Cl5
qs_2026_top500_all10_15,qs_2026_top500_all10,15,宾夕法尼亚大学,0.763,0.894,0.9690000000000001,0.9990000000000001,0.72,0.9890000000000001,0.987,1.0,0.95,0.7859999999999999,5,Cl5
qs_2026_top500_all10_16,qs_2026_top500_all10,16,康奈尔大学,0.757,0.93,0.5760000000000001,0.643,0.98,0.995,0.988,0.993,0.768,0.564,5,Cl5
qs_2026_top500_all10_17,qs_2026_top500_all10,17,加州大学伯克利分校,0.706,0.9670000000000001,0.956,0.294,0.972,1.0,1.0,0.998,0.988,0.526,5,Cl5
qs_2026_top500_all10_18,qs_2026_top500_all10,18,清华大学,0.319,0.804,0.395,0.971,0.996,0.9990000000000001,0.997,0.97,0.687,0.239,5,Cl5
qs_2026_top500_all10_19,qs_2026_top500_all10,19,墨尔本大学,1.0,0.9690000000000001,0.9670000000000001,0.205,0.948,0.997,0.9740000000000001,0.983,0.982,0.7440000000000001,5,Cl5
qs_2026_top500_all10_20,qs_2026_top500_all10,20,新南威尔士大学（UNSW）,0.9990000000000001,0.976,1.0,0.299,0.9690000000000001,0.963,0.935,0.987,0.97,0.9990000000000001,5,Cl5
qs_2026_top500_all10_21,qs_2026_top500_all10,21,耶鲁大学,0.727,0.929,0.867,1.0,0.648,1.0,1.0,0.998,0.8240000000000001,0.754,5,Cl5
qs_2026_top500_all10_22,qs_2026_top500_all10,22,洛桑联邦理工学院（EPFL),1.0,0.836,1.0,0.9,0.9309999999999999,0.927,0.88,0.473,0.853,1.0,5,Cl5
qs_2026_top500_all10_23,qs_2026_top500_all10,23,慕尼黑工业大学,0.9890000000000001,0.9590000000000001,0.863,0.705,0.9259999999999999,0.92,0.997,0.573,0.878,0.9890000000000001,5,Cl5
qs_2026_top500_all10_24,qs_2026_top500_all10,24,约翰霍普金斯大学,0.9420000000000001,0.9740000000000001,0.708,1.0,0.858,0.932,0.792,0.841,0.93,0.946,5,Cl5
qs_2026_top500_all10_25,qs_2026_top500_all10,25,普林斯顿大学,0.7,0.826,0.127,0.6729999999999999,1.0,1.0,0.998,0.9890000000000001,0.76,0.522,5,Cl5
qs_2026_top500_all10_26,qs_2026_top500_all10,26,悉尼大学,1.0,0.955,0.9990000000000001,0.157,0.943,0.9890000000000001,0.9420000000000001,0.958,0.976,1.0,5,Cl5
qs_2026_top500_all10_27,qs_2026_top500_all10,27,麦吉尔大学,0.935,0.929,0.8859999999999999,0.6729999999999999,0.7240000000000001,0.981,0.935,0.9890000000000001,0.963,0.696,5,Cl5
qs_2026_top500_all10_28,qs_2026_top500_all10,28,巴黎科学艺术人文大学,0.755,0.997,0.696,0.986,0.851,0.826,0.985,0.975,0.878,0.779,5,Cl5
qs_2026_top500_all10_29,qs_2026_top500_all10,29,多伦多大学,0.9790000000000001,0.97,0.9790000000000001,0.457,0.688,1.0,0.991,0.9940000000000001,1.0,0.98,5,Cl5
qs_2026_top500_all10_30,qs_2026_top500_all10,30,复旦大学,0.46399999999999997,0.755,0.885,0.848,0.9279999999999999,0.937,0.951,0.733,0.831,0.514,5,Cl5
qs_2026_top500_all10_31,qs_2026_top500_all10,31,伦敦国王学院,0.99,0.9840000000000001,0.995,0.7440000000000001,0.7020000000000001,0.9620000000000001,0.9179999999999999,0.764,0.965,0.99,5,Cl5
qs_2026_top500_all10_32,qs_2026_top500_all10,32,澳大利亚国立大学（ANU),0.99,0.9309999999999999,1.0,0.409,0.917,0.9790000000000001,0.826,0.6709999999999999,0.9179999999999999,0.991,5,Cl5
qs_2026_top500_all10_33,qs_2026_top500_all10,33,香港中文大学,0.9329999999999999,0.682,1.0,0.759,0.95,0.9420000000000001,0.6729999999999999,0.912,0.841,0.903,5,Cl5
qs_2026_top500_all10_34,qs_2026_top500_all10,34,爱丁堡大学,0.9990000000000001,0.995,0.997,0.773,0.5429999999999999,0.996,0.982,0.6970000000000001,0.983,0.9990000000000001,5,Cl5
qs_2026_top500_all10_35,qs_2026_top500_all10,35,曼彻斯特大学,0.995,0.9940000000000001,0.953,0.5820000000000001,0.568,0.986,0.988,0.919,0.982,0.995,5,Cl5
qs_2026_top500_all10_36,qs_2026_top500_all10,36,东京大学,0.44,0.888,0.159,0.924,0.6990000000000001,1.0,0.9990000000000001,1.0,0.9229999999999999,0.49200000000000005,5,Cl5
qs_2026_top500_all10_37,qs_2026_top500_all10,37,蒙纳士大学,1.0,0.9470000000000001,1.0,0.113,0.93,0.9570000000000001,0.875,0.867,0.917,1.0,5,Cl5
qs_2026_top500_all10_38,qs_2026_top500_all10,38,哥伦比亚大学,0.981,0.9840000000000001,0.485,1.0,0.445,0.9990000000000001,0.9990000000000001,1.0,0.779,0.7290000000000001,5,Cl5
qs_2026_top500_all10_39,qs_2026_top500_all10,39,首尔国立大学,0.275,0.7759999999999999,0.132,0.856,0.812,0.997,0.991,1.0,0.9079999999999999,0.335,5,Cl5
qs_2026_top500_all10_40,qs_2026_top500_all10,40,不列颠哥伦比亚大学,0.7979999999999999,0.966,0.985,0.34700000000000003,0.7090000000000001,0.996,0.965,0.8490000000000001,0.985,0.8170000000000001,5,Cl5
qs_2026_top500_all10_41,qs_2026_top500_all10,41,巴黎理工学院,0.992,0.93,0.9990000000000001,0.948,0.973,0.581,0.998,0.991,0.779,0.992,5,Cl5
qs_2026_top500_all10_42,qs_2026_top500_all10,42,昆士兰大学（UQ）,1.0,0.97,1.0,0.265,0.9420000000000001,0.943,0.795,0.6659999999999999,0.925,1.0,5,Cl5
qs_2026_top500_all10_43,qs_2026_top500_all10,43,西北大学,0.672,0.865,0.5770000000000001,0.991,0.7120000000000001,0.922,0.894,0.995,0.7440000000000001,0.5,5,Cl5
