alternative_id,dataset_id,source_dataset,g1,g2,g3,g4,source_y,class_index,class_label
toc_uco_oc03_balancescale_1,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,0.25,0.0,0.25,0,1,Cl1
toc_uco_oc03_balancescale_2,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,1.0,0.25,0.5,0,1,Cl1
toc_uco_oc03_balancescale_3,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,1.0,0.25,0.75,0,1,Cl1
toc_uco_oc03_balancescale_4,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,1.0,0.5,0.5,0,1,Cl1
toc_uco_oc03_balancescale_5,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,1.0,0.75,0.25,0,1,Cl1
toc_uco_oc03_balancescale_6,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,0.0,0.0,0.0,0,1,Cl1
toc_uco_oc03_balancescale_7,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,1.0,0.75,0.0,0,1,Cl1
toc_uco_oc03_balancescale_8,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,0.75,0.5,0.25,0,1,Cl1
toc_uco_oc03_balancescale_9,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,0.75,0.0,0.25,0,1,Cl1
toc_uco_oc03_balancescale_10,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.5,0.0,0.75,0,1,Cl1
toc_uco_oc03_balancescale_11,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.75,0.75,0.25,0,1,Cl1
toc_uco_oc03_balancescale_12,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,1.0,0.25,0.75,0,1,Cl1
toc_uco_oc03_balancescale_13,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.75,0.5,0.75,0,1,Cl1
toc_uco_oc03_balancescale_14,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,1.0,0.0,0.5,0,1,Cl1
toc_uco_oc03_balancescale_15,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.75,0.5,1.0,0,1,Cl1
toc_uco_oc03_balancescale_16,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.75,0.25,0.5,0,1,Cl1
toc_uco_oc03_balancescale_17,toc_uco_oc03_balancescale,oc03_balanceScale,0.0,0.75,0.0,0.25,0,1,Cl1
toc_uco_oc03_balancescale_18,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.5,0.25,0.0,0,1,Cl1
toc_uco_oc03_balancescale_19,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,1.0,0.75,0.25,0,1,Cl1
toc_uco_oc03_balancescale_20,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,0.75,0.75,0.0,0,1,Cl1
toc_uco_oc03_balancescale_21,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,1.0,0.75,0.5,0,1,Cl1
toc_uco_oc03_balancescale_22,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.5,0.75,0.5,0,1,Cl1
toc_uco_oc03_balancescale_23,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,1.0,0.5,0.0,0,1,Cl1
toc_uco_oc03_balancescale_24,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.25,0.0,0.0,0,1,Cl1
toc_uco_oc03_balancescale_25,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.0,0.0,0.5,0,1,Cl1
toc_uco_oc03_balancescale_26,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,1.0,0.0,0.0,0,1,Cl1
toc_uco_oc03_balancescale_27,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,1.0,0.25,0.25,0,1,Cl1
toc_uco_oc03_balancescale_28,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.25,1.0,0.0,0,1,Cl1
toc_uco_oc03_balancescale_29,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.5,0.5,0.0,0,1,Cl1
toc_uco_oc03_balancescale_30,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,1.0,0.25,0.0,0,1,Cl1
toc_uco_oc03_balancescale_31,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,1.0,0.5,0.0,0,1,Cl1
toc_uco_oc03_balancescale_32,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.25,0.75,0.0,0,1,Cl1
toc_uco_oc03_balancescale_33,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.75,0.25,0.75,0,1,Cl1
toc_uco_oc03_balancescale_34,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,0.75,0.0,0.25,0,1,Cl1
toc_uco_oc03_balancescale_35,toc_uco_oc03_balancescale,oc03_balanceScale,0.25,0.75,0.5,0.0,0,1,Cl1
toc_uco_oc03_balancescale_36,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,1.0,0.5,0.25,0,1,Cl1
toc_uco_oc03_balancescale_37,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.25,0.75,0.0,0,1,Cl1
toc_uco_oc03_balancescale_38,toc_uco_oc03_balancescale,oc03_balanceScale,1.0,0.75,0.75,0.5,0,1,Cl1
toc_uco_oc03_balancescale_39,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.0,0.25,0.0,0,1,Cl1
toc_uco_oc03_balancescale_40,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,1.0,0.0,0.25,0,1,Cl1
toc_uco_oc03_balancescale_41,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.5,0.0,0.0,0,1,Cl1
toc_uco_oc03_balancescale_42,toc_uco_oc03_balancescale,oc03_balanceScale,0.0,1.0,0.5,0.0,0,1,Cl1
toc_uco_oc03_balancescale_43,toc_uco_oc03_balancescale,oc03_balanceScale,0.5,0.75,0.0,1.0,0,1,Cl1
toc_uco_oc03_balancescale_44,toc_uco_oc03_balancescale,oc03_balanceScale,0.0,0.75,0.25,0.0,0,1,Cl1
toc_uco_oc03_balancescale_45,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,1.0,0.0,0.25,0,1,Cl1
toc_uco_oc03_balancescale_46,toc_uco_oc03_balancescale,oc03_balanceScale,0.75,0.5,0.25,0.25,0,1,Cl1
