alternative_id,dataset_id,source_dataset,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,source_y,class_index,class_label
toc_uco_oc04_problematicinternetusage_1,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.3076923076923077,0.0,0.30444041797151855,0.2727272727272727,0.15211640211640212,0.38095238095238093,0.38738738738738737,0.474025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29577464788732394,0.41935483870967744,0.0,0,1,Cl1
toc_uco_oc04_problematicinternetusage_2,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.38461538461538464,1.0,0.3611202582914934,0.4935064935064935,0.25,0.32142857142857145,0.6036036036036037,0.44155844155844154,1.0,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.4,0.4,0.2,0.2,0.3010752688172043,0.18309859154929578,0.25806451612903225,0.6666666666666666,0,1,Cl1
toc_uco_oc04_problematicinternetusage_3,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.3076923076923077,0.0,0.3967720371567892,0.4805194805194805,0.2698412698412698,0.2916666666666667,0.6306306306306306,0.44155844155844154,0.8,0.4,0.8,0.0,1.0,0.2,0.0,0.6,0.4,0.4,0.6,0.0,0.6,0.0,0.0,0.6,0.8,0.6,0.8,0.2,0.4731182795698925,0.08450704225352113,0.11290322580645161,0.0,1,2,Cl2
toc_uco_oc04_problematicinternetusage_4,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.6153846153846154,1.0,0.4832655953801868,0.5714285714285714,0.37103174603174605,0.2916666666666667,0.4144144144144144,0.34415584415584416,0.6,0.6,0.6,0.0,0.4,0.2,0.0,0.4,0.4,0.2,0.0,0.2,0.6,0.6,0.4,0.2,0.6,0.2,0.4,0.2,0.3655913978494624,0.2112676056338028,0.2903225806451613,0.0,1,2,Cl2
toc_uco_oc04_problematicinternetusage_5,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.38461538461538464,0.0,0.42645374886955245,0.45454545454545453,0.27976190476190477,0.6666666666666666,0.5045045045045045,0.7402597402597403,0.2,0.8,0.2,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.8,0.2,0.0,0.21505376344086022,0.028169014084507043,0.03225806451612903,1.0,0,1,Cl1
toc_uco_oc04_problematicinternetusage_6,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.6153846153846154,0.0,0.4572176375235502,0.525974025974026,0.3306878306878307,0.30952380952380953,0.46846846846846846,0.6558441558441559,0.6,0.4,0.6,0.4,0.6,0.6,0.0,0.2,0.4,0.2,0.0,0.0,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.3333333333333333,0.11267605633802817,0.14516129032258066,0.3333333333333333,1,2,Cl2
toc_uco_oc04_problematicinternetusage_7,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.15384615384615385,0.0,0.6358768406063937,0.42857142857142855,0.40211640211640215,0.4107142857142857,0.43243243243243246,0.3246753246753247,0.8,0.8,0.8,0.6,1.0,0.2,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.4,0.8,0.6,0.6,0.2,0.6236559139784946,0.14084507042253522,0.1935483870967742,0.6666666666666666,2,3,Cl3
toc_uco_oc04_problematicinternetusage_8,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.0,1.0,0.3749113187826425,0.16883116883116883,0.1574074074074074,0.2976190476190476,0.44144144144144143,0.38961038961038963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.24193548387096775,0.0,0,1,Cl1
toc_uco_oc04_problematicinternetusage_9,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.07692307692307693,0.0,0.6527710843649461,0.0,0.1990740740740741,0.2976190476190476,0.5765765765765766,0.2987012987012987,0.6,0.6,0.4,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.6,0.0,0.0,0.4,0.6,0.6,0.2,0.0,0.3010752688172043,0.19718309859154928,0.27419354838709675,1.0,0,1,Cl1
toc_uco_oc04_problematicinternetusage_10,toc_uco_oc04_problematicinternetusage,oc04_problematicInternetUsage,0.6923076923076923,0.0,0.3723980665605473,0.7532467532467533,0.35714285714285715,0.2916666666666667,0.3963963963963964,0.5194805194805194,0.8,0.8,1.0,0.2,0.8,0.6,0.2,0.2,0.2,0.6,0.8,0.2,0.2,0.2,0.6,0.2,0.6,0.4,0.4,0.4,0.5053763440860215,0.07042253521126761,0.08064516129032258,0.6666666666666666,1,2,Cl2
