alternative_id,dataset_id,source_dataset,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,source_y,class_index,class_label
toc_uco_oc04_swd_1,toc_uco_oc04_swd,oc04_swd,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.0,0.0,0.5,0.0,0,1,Cl1
toc_uco_oc04_swd_2,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_3,toc_uco_oc04_swd,oc04_swd,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Cl1
toc_uco_oc04_swd_4,toc_uco_oc04_swd,oc04_swd,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,Cl1
toc_uco_oc04_swd_5,toc_uco_oc04_swd,oc04_swd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0,1,Cl1
toc_uco_oc04_swd_6,toc_uco_oc04_swd,oc04_swd,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.0,0,1,Cl1
toc_uco_oc04_swd_7,toc_uco_oc04_swd,oc04_swd,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.5,1.0,0,1,Cl1
toc_uco_oc04_swd_8,toc_uco_oc04_swd,oc04_swd,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.5,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_9,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_10,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_11,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_12,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_13,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_14,toc_uco_oc04_swd,oc04_swd,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0,1,Cl1
toc_uco_oc04_swd_15,toc_uco_oc04_swd,oc04_swd,1.0,0.5,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_16,toc_uco_oc04_swd,oc04_swd,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0,1,Cl1
toc_uco_oc04_swd_17,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0,1,Cl1
toc_uco_oc04_swd_18,toc_uco_oc04_swd,oc04_swd,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0,1,Cl1
toc_uco_oc04_swd_19,toc_uco_oc04_swd,oc04_swd,1.0,0.5,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_20,toc_uco_oc04_swd,oc04_swd,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0,1,Cl1
toc_uco_oc04_swd_21,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_22,toc_uco_oc04_swd,oc04_swd,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0,1,Cl1
toc_uco_oc04_swd_23,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0,1,Cl1
toc_uco_oc04_swd_24,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0,1,Cl1
toc_uco_oc04_swd_25,toc_uco_oc04_swd,oc04_swd,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1,2,Cl2
toc_uco_oc04_swd_26,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1,2,Cl2
toc_uco_oc04_swd_27,toc_uco_oc04_swd,oc04_swd,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0,0.5,0.5,0.5,0.0,1,2,Cl2
toc_uco_oc04_swd_28,toc_uco_oc04_swd,oc04_swd,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1,2,Cl2
toc_uco_oc04_swd_29,toc_uco_oc04_swd,oc04_swd,0.0,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.5,1,2,Cl2
toc_uco_oc04_swd_30,toc_uco_oc04_swd,oc04_swd,1.0,1.0,0.6666666666666666,0.5,0.0,0.0,0.5,0.5,1.0,0.5,1,2,Cl2
toc_uco_oc04_swd_31,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1,2,Cl2
toc_uco_oc04_swd_32,toc_uco_oc04_swd,oc04_swd,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.0,0.0,0.5,0.0,1,2,Cl2
toc_uco_oc04_swd_33,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1,2,Cl2
toc_uco_oc04_swd_34,toc_uco_oc04_swd,oc04_swd,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0,0.5,0.5,0.5,0.0,1,2,Cl2
toc_uco_oc04_swd_35,toc_uco_oc04_swd,oc04_swd,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.5,1.0,0.5,0.5,1,2,Cl2
toc_uco_oc04_swd_36,toc_uco_oc04_swd,oc04_swd,1.0,0.5,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.5,1,2,Cl2
toc_uco_oc04_swd_37,toc_uco_oc04_swd,oc04_swd,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.5,0.0,0.5,1,2,Cl2
toc_uco_oc04_swd_38,toc_uco_oc04_swd,oc04_swd,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1,2,Cl2
toc_uco_oc04_swd_39,toc_uco_oc04_swd,oc04_swd,0.0,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.5,1,2,Cl2
toc_uco_oc04_swd_40,toc_uco_oc04_swd,oc04_swd,0.0,0.0,0.3333333333333333,0.5,0.0,1.0,0.0,0.5,0.5,0.5,1,2,Cl2
toc_uco_oc04_swd_41,toc_uco_oc04_swd,oc04_swd,0.5,0.5,0.0,1.0,0.6666666666666666,0.0,1.0,0.5,0.0,0.5,1,2,Cl2
toc_uco_oc04_swd_42,toc_uco_oc04_swd,oc04_swd,1.0,0.5,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.5,1,2,Cl2
toc_uco_oc04_swd_43,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,2,Cl2
toc_uco_oc04_swd_44,toc_uco_oc04_swd,oc04_swd,0.5,0.5,0.6666666666666666,0.5,1.0,1.0,0.5,0.5,0.5,0.0,1,2,Cl2
toc_uco_oc04_swd_45,toc_uco_oc04_swd,oc04_swd,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1,2,Cl2
toc_uco_oc04_swd_46,toc_uco_oc04_swd,oc04_swd,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,1,2,Cl2
toc_uco_oc04_swd_47,toc_uco_oc04_swd,oc04_swd,0.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,0.0,0.5,0.0,1,2,Cl2
toc_uco_oc04_swd_48,toc_uco_oc04_swd,oc04_swd,0.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,1.0,0.5,1,2,Cl2
toc_uco_oc04_swd_49,toc_uco_oc04_swd,oc04_swd,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,2,Cl2
toc_uco_oc04_swd_50,toc_uco_oc04_swd,oc04_swd,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.5,0.5,1.0,1.0,1,2,Cl2
