alternative_id,dataset_id,source_dataset,g1,g2,g3,g4,source_y,class_index,class_label
toc_uco_oc05_lev_1,toc_uco_oc05_lev,oc05_lev,0.0,0.5,0.0,0.25,0,1,Cl1
toc_uco_oc05_lev_2,toc_uco_oc05_lev,oc05_lev,0.25,0.0,0.75,0.25,0,1,Cl1
toc_uco_oc05_lev_3,toc_uco_oc05_lev,oc05_lev,0.5,1.0,0.75,0.5,0,1,Cl1
toc_uco_oc05_lev_4,toc_uco_oc05_lev,oc05_lev,0.25,0.0,0.25,0.25,0,1,Cl1
toc_uco_oc05_lev_5,toc_uco_oc05_lev,oc05_lev,0.25,0.0,0.25,0.25,0,1,Cl1
toc_uco_oc05_lev_6,toc_uco_oc05_lev,oc05_lev,0.0,0.0,0.75,0.0,0,1,Cl1
toc_uco_oc05_lev_7,toc_uco_oc05_lev,oc05_lev,0.25,0.0,0.5,0.5,0,1,Cl1
toc_uco_oc05_lev_8,toc_uco_oc05_lev,oc05_lev,0.0,0.0,0.75,0.0,0,1,Cl1
toc_uco_oc05_lev_9,toc_uco_oc05_lev,oc05_lev,0.0,0.25,1.0,0.75,0,1,Cl1
toc_uco_oc05_lev_10,toc_uco_oc05_lev,oc05_lev,0.25,0.0,0.75,0.25,0,1,Cl1
toc_uco_oc05_lev_11,toc_uco_oc05_lev,oc05_lev,0.25,0.25,1.0,0.25,0,1,Cl1
toc_uco_oc05_lev_12,toc_uco_oc05_lev,oc05_lev,1.0,0.0,0.0,0.5,0,1,Cl1
toc_uco_oc05_lev_13,toc_uco_oc05_lev,oc05_lev,0.0,0.75,0.75,0.0,0,1,Cl1
toc_uco_oc05_lev_14,toc_uco_oc05_lev,oc05_lev,0.25,0.0,0.75,0.25,0,1,Cl1
toc_uco_oc05_lev_15,toc_uco_oc05_lev,oc05_lev,0.0,0.0,0.75,0.0,0,1,Cl1
toc_uco_oc05_lev_16,toc_uco_oc05_lev,oc05_lev,0.25,0.0,0.75,0.25,0,1,Cl1
toc_uco_oc05_lev_17,toc_uco_oc05_lev,oc05_lev,1.0,0.0,1.0,0.25,0,1,Cl1
toc_uco_oc05_lev_18,toc_uco_oc05_lev,oc05_lev,0.0,0.25,0.25,0.0,0,1,Cl1
toc_uco_oc05_lev_19,toc_uco_oc05_lev,oc05_lev,0.0,0.5,0.25,0.75,0,1,Cl1
toc_uco_oc05_lev_20,toc_uco_oc05_lev,oc05_lev,0.0,0.0,0.75,0.0,0,1,Cl1
