group,dataset_id,selected_base_model,count,frequency
monotone_classification,mcs_bcc,M1_linear_additive,2,0.4
monotone_classification,mcs_bcc,M2_monotone_additive,1,0.2
monotone_classification,mcs_bcc,M4_sparse_interaction,2,0.4
monotone_classification,mcs_cev,M1_linear_additive,5,1.0
monotone_classification,mcs_cpu,M1_linear_additive,4,0.8
monotone_classification,mcs_cpu,M3_nonmonotone_additive,1,0.2
monotone_classification,mcs_dbs,M1_linear_additive,4,0.8
monotone_classification,mcs_dbs,M2_monotone_additive,1,0.2
monotone_classification,mcs_era,M1_linear_additive,5,1.0
monotone_classification,mcs_esl,M1_linear_additive,5,1.0
monotone_classification,mcs_lev,M1_linear_additive,5,1.0
monotone_classification,mcs_mmg,M1_linear_additive,5,1.0
monotone_classification,mcs_mpg,M1_linear_additive,5,1.0
polish_research_units,polish_research_units_all,M1_linear_additive,5,1.0
polish_research_units,polish_research_units_hs,M1_linear_additive,3,0.6
polish_research_units,polish_research_units_hs,M2_monotone_additive,1,0.2
polish_research_units,polish_research_units_hs,M3_nonmonotone_additive,1,0.2
polish_research_units,polish_research_units_njn,M1_linear_additive,5,1.0
polish_research_units,polish_research_units_nz,M1_linear_additive,5,1.0
polish_research_units,polish_research_units_si,M1_linear_additive,4,0.8
polish_research_units,polish_research_units_si,M3_nonmonotone_additive,1,0.2
polish_research_units,polish_research_units_ta,M1_linear_additive,3,0.6
polish_research_units,polish_research_units_ta,M3_nonmonotone_additive,1,0.2
polish_research_units,polish_research_units_ta,M4_sparse_interaction,1,0.2
qs_university_rankings,qs_2020_top500_common6,M1_linear_additive,5,1.0
qs_university_rankings,qs_2022_top500_common6,M1_linear_additive,5,1.0
qs_university_rankings,qs_2026_top500_all10,M1_linear_additive,3,0.6
qs_university_rankings,qs_2026_top500_all10,M2_monotone_additive,2,0.4
qs_university_rankings,qs_2026_top500_common6,M1_linear_additive,4,0.8
qs_university_rankings,qs_2026_top500_common6,M3_nonmonotone_additive,1,0.2
synthetic_structure_recovery,synthetic_mixed_structure,M3_nonmonotone_additive,3,0.6
synthetic_structure_recovery,synthetic_mixed_structure,M5_full_flexible,2,0.4
synthetic_structure_recovery,synthetic_monotone_additive,M1_linear_additive,5,1.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M3_nonmonotone_additive,5,1.0
synthetic_structure_recovery,synthetic_sparse_interactions,M1_linear_additive,3,0.6
synthetic_structure_recovery,synthetic_sparse_interactions,M4_sparse_interaction,2,0.4
wine_quality,wine_quality_combined,M1_linear_additive,4,0.8
wine_quality,wine_quality_combined,M2_monotone_additive,1,0.2
wine_quality,wine_quality_red,M2_monotone_additive,5,1.0
wine_quality,wine_quality_white,M1_linear_additive,5,1.0
