group,dataset_id,selected_base_model,count,frequency
education_evaluation,higher_education_students_performance,M1_linear_additive,2,1.0
education_evaluation,student_performance_math_no_prior_grades,M2_monotone_additive,1,0.5
education_evaluation,student_performance_math_no_prior_grades,M4_sparse_interaction,1,0.5
education_evaluation,student_performance_math_with_prior_grades,M3_nonmonotone_additive,2,1.0
health_risk_evaluation,maternal_health_risk,M1_linear_additive,2,1.0
toc_uco_ordinal_classification,toc_uco_oc03_balancescale,M3_nonmonotone_additive,2,1.0
toc_uco_ordinal_classification,toc_uco_oc04_heartdisease,M1_linear_additive,1,0.5
toc_uco_ordinal_classification,toc_uco_oc04_heartdisease,M3_nonmonotone_additive,1,0.5
toc_uco_ordinal_classification,toc_uco_oc05_lev,M1_linear_additive,2,1.0
toc_uco_ordinal_classification,toc_uco_oc06_esl,M1_linear_additive,2,1.0
