group,dataset_id,selected_base_model,count,frequency
monotone_classification,mcs_bcc,M2_monotone_additive,1,0.2
monotone_classification,mcs_bcc,M4_sparse_interaction,3,0.6
monotone_classification,mcs_bcc,M5_full_flexible,1,0.2
monotone_classification,mcs_cev,M1_linear_additive,1,0.2
monotone_classification,mcs_cev,M4_sparse_interaction,2,0.4
monotone_classification,mcs_cev,M5_full_flexible,2,0.4
monotone_classification,mcs_cpu,M1_linear_additive,1,0.2
monotone_classification,mcs_cpu,M3_nonmonotone_additive,1,0.2
monotone_classification,mcs_cpu,M4_sparse_interaction,1,0.2
monotone_classification,mcs_cpu,M5_full_flexible,2,0.4
monotone_classification,mcs_dbs,M1_linear_additive,2,0.4
monotone_classification,mcs_dbs,M2_monotone_additive,1,0.2
monotone_classification,mcs_dbs,M4_sparse_interaction,2,0.4
monotone_classification,mcs_era,M1_linear_additive,5,1.0
monotone_classification,mcs_esl,M1_linear_additive,5,1.0
monotone_classification,mcs_lev,M1_linear_additive,5,1.0
monotone_classification,mcs_mmg,M1_linear_additive,5,1.0
monotone_classification,mcs_mpg,M1_linear_additive,5,1.0
synthetic_structure_recovery,synthetic_mixed_structure,M3_nonmonotone_additive,2,0.4
synthetic_structure_recovery,synthetic_mixed_structure,M5_full_flexible,3,0.6
synthetic_structure_recovery,synthetic_monotone_additive,M1_linear_additive,5,1.0
synthetic_structure_recovery,synthetic_nonmonotone_marginals,M3_nonmonotone_additive,5,1.0
synthetic_structure_recovery,synthetic_sparse_interactions,M1_linear_additive,1,0.2
synthetic_structure_recovery,synthetic_sparse_interactions,M4_sparse_interaction,4,0.8
