group,dataset_id,selected_base_model,count,frequency
education_evaluation,higher_education_students_performance,M4_sparse_interaction,3,1.0
education_evaluation,student_performance_math_no_prior_grades,M4_sparse_interaction,3,1.0
education_evaluation,student_performance_math_with_prior_grades,M1_linear_additive,1,0.3333333333333333
education_evaluation,student_performance_math_with_prior_grades,M3_nonmonotone_additive,2,0.6666666666666666
education_evaluation,student_performance_portuguese_no_prior_grades,M1_linear_additive,1,0.3333333333333333
education_evaluation,student_performance_portuguese_no_prior_grades,M4_sparse_interaction,2,0.6666666666666666
education_evaluation,student_performance_portuguese_with_prior_grades,M1_linear_additive,2,0.6666666666666666
education_evaluation,student_performance_portuguese_with_prior_grades,M2_monotone_additive,1,0.3333333333333333
health_risk_evaluation,maternal_health_risk,M1_linear_additive,3,1.0
monotone_classification,mcs_bcc,M2_monotone_additive,1,0.3333333333333333
monotone_classification,mcs_bcc,M4_sparse_interaction,2,0.6666666666666666
monotone_classification,mcs_cev,M1_linear_additive,3,1.0
monotone_classification,mcs_cpu,M1_linear_additive,1,0.3333333333333333
monotone_classification,mcs_cpu,M4_sparse_interaction,1,0.3333333333333333
monotone_classification,mcs_cpu,M5_full_flexible,1,0.3333333333333333
monotone_classification,mcs_dbs,M1_linear_additive,1,0.3333333333333333
monotone_classification,mcs_dbs,M2_monotone_additive,1,0.3333333333333333
monotone_classification,mcs_dbs,M4_sparse_interaction,1,0.3333333333333333
monotone_classification,mcs_era,M1_linear_additive,3,1.0
monotone_classification,mcs_esl,M1_linear_additive,3,1.0
monotone_classification,mcs_lev,M1_linear_additive,3,1.0
monotone_classification,mcs_mmg,M1_linear_additive,3,1.0
monotone_classification,mcs_mpg,M1_linear_additive,3,1.0
polish_research_units,polish_research_units_all,M1_linear_additive,3,1.0
polish_research_units,polish_research_units_hs,M1_linear_additive,2,0.6666666666666666
polish_research_units,polish_research_units_hs,M2_monotone_additive,1,0.3333333333333333
polish_research_units,polish_research_units_njn,M1_linear_additive,3,1.0
polish_research_units,polish_research_units_nz,M1_linear_additive,3,1.0
polish_research_units,polish_research_units_si,M1_linear_additive,2,0.6666666666666666
polish_research_units,polish_research_units_si,M4_sparse_interaction,1,0.3333333333333333
polish_research_units,polish_research_units_ta,M1_linear_additive,1,0.3333333333333333
polish_research_units,polish_research_units_ta,M3_nonmonotone_additive,1,0.3333333333333333
polish_research_units,polish_research_units_ta,M4_sparse_interaction,1,0.3333333333333333
qs_university_rankings,qs_2020_top500_common6,M1_linear_additive,3,1.0
qs_university_rankings,qs_2022_top500_common6,M1_linear_additive,3,1.0
