dataset_id,seed,selected_base_model,true_nonmonotone,pred_nonmonotone,nonmonotone_precision,nonmonotone_recall,nonmonotone_f1,true_interactions,pred_interactions,interaction_precision,interaction_recall,interaction_f1,false_complexity_count
synthetic_mixed_structure,0,M3_nonmonotone_additive,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,,0.0,0.0,0.0,0
synthetic_mixed_structure,1,M5_full_flexible,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,g2:g5;g3:g6,1.0,1.0,1.0,0
synthetic_mixed_structure,2,M3_nonmonotone_additive,g1,g1;g3,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,,0.0,0.0,0.0,1
synthetic_mixed_structure,3,M5_full_flexible,g1,g1;g6,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,g2:g5,1.0,0.5,0.6666666666666666,1
synthetic_mixed_structure,4,M3_nonmonotone_additive,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,,0.0,0.0,0.0,0
synthetic_mixed_structure,5,M5_full_flexible,g1,g1;g3,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,g1:g6;g2:g5,0.5,0.5,0.5,2
synthetic_mixed_structure,6,M3_nonmonotone_additive,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,,0.0,0.0,0.0,0
synthetic_mixed_structure,7,M5_full_flexible,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,g2:g5;g3:g6,1.0,1.0,1.0,0
synthetic_mixed_structure,8,M3_nonmonotone_additive,g1,g1;g6,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,,0.0,0.0,0.0,1
synthetic_mixed_structure,9,M3_nonmonotone_additive,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,,0.0,0.0,0.0,0
synthetic_mixed_structure,10,M3_nonmonotone_additive,g1,g1;g6,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,,0.0,0.0,0.0,1
synthetic_mixed_structure,11,M3_nonmonotone_additive,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,,0.0,0.0,0.0,0
synthetic_mixed_structure,12,M3_nonmonotone_additive,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,,0.0,0.0,0.0,0
synthetic_mixed_structure,13,M5_full_flexible,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,g2:g5;g3:g6,1.0,1.0,1.0,0
synthetic_mixed_structure,14,M3_nonmonotone_additive,g1,g1;g6,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,,0.0,0.0,0.0,1
synthetic_mixed_structure,15,M3_nonmonotone_additive,g1,g1;g6,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,,0.0,0.0,0.0,1
synthetic_mixed_structure,16,M3_nonmonotone_additive,g1,g1;g6,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,,0.0,0.0,0.0,1
synthetic_mixed_structure,17,M5_full_flexible,g1,g1,1.0,1.0,1.0,g2:g5;g3:g6,g1:g3;g2:g5;g3:g6,0.6666666666666666,1.0,0.8,1
synthetic_mixed_structure,18,M3_nonmonotone_additive,g1,g1;g6,0.5,1.0,0.6666666666666666,g2:g5;g3:g6,,0.0,0.0,0.0,1
